step,mean_features,mean_context,train_loss,val_loss,val_acc,val_auc,val_auc_easy,val_auc_medium,val_auc_hard,cum_time_s,cum_flops,peak_gpu_gb
100,4.0,95.84,1.012903,1.105481,0.5412,0.527,0.5348,0.5078,0.5383,54.76,1340560281600.0,0.063
200,7.0,91.62,0.898126,1.064594,0.5527,0.5297,0.5279,0.5204,0.5406,109.64,3428892345600.0,0.102
300,9.0,86.41,1.125896,1.051105,0.5664,0.5525,0.5574,0.5434,0.5566,164.55,6289114406400.0,0.102
400,11.0,101.84,0.900837,1.02793,0.5728,0.5773,0.5737,0.5703,0.5878,219.73,9891698400000.0,0.116
500,13.0,101.72,0.889851,1.016466,0.5854,0.577,0.5754,0.5719,0.5838,274.48,14256157939200.0,0.133
600,16.0,112.12,0.860977,1.008614,0.5852,0.5793,0.5886,0.5656,0.5838,329.49,19410829286400.0,0.156
700,18.0,90.16,0.982499,1.001069,0.5898,0.5884,0.5971,0.5836,0.5846,384.37,25348161600000.0,0.172
800,20.0,92.94,0.975794,1.000528,0.5977,0.5856,0.5867,0.5855,0.5848,439.07,32060141798400.0,0.187
900,23.0,108.34,0.967142,0.999406,0.5959,0.5895,0.5904,0.5943,0.5838,494.23,39598467148800.0,0.21
1000,25.0,90.06,0.904694,1.000264,0.5959,0.5946,0.5972,0.5984,0.5882,549.82,47957551027200.0,0.225
1100,27.0,109.84,0.899574,1.000155,0.5935,0.5962,0.5948,0.6048,0.589,606.65,57093271718400.0,0.242
1200,30.0,93.47,0.757827,0.999956,0.5972,0.5937,0.5872,0.6088,0.5851,664.88,67042424736000.0,0.259
1300,32.0,87.91,0.891666,1.001164,0.5969,0.5913,0.5906,0.6071,0.5763,726.16,77851431936000.0,0.28
1400,34.0,96.56,1.109927,1.001001,0.597,0.5904,0.5941,0.602,0.575,790.27,89491729651200.0,0.296
1500,37.0,91.09,0.816611,1.003153,0.5944,0.5929,0.5989,0.6025,0.5772,857.11,101974074854400.0,0.32
1600,39.0,97.44,0.970265,1.004843,0.5934,0.5929,0.5999,0.6017,0.577,927.79,115348120588800.0,0.337
1700,41.0,110.84,0.875105,1.006095,0.5917,0.5935,0.5998,0.6063,0.5746,1002.93,129554861529600.0,0.35
1800,44.38,105.66,1.026571,1.005092,0.5924,0.5943,0.6016,0.6094,0.572,1081.93,144611698809600.0,0.375
1900,51.56,88.41,0.831223,1.005923,0.5927,0.5946,0.6016,0.6124,0.5697,1177.28,163237305542400.0,0.505
2000,50.97,109.53,1.037028,1.004995,0.5934,0.5966,0.6052,0.6174,0.5673,1272.7,181903073587200.0,0.51
2100,51.34,100.91,0.985688,1.002807,0.5934,0.5992,0.6092,0.6211,0.5672,1367.71,200486069222400.0,0.505
2200,50.31,113.0,0.84156,1.004061,0.5933,0.6004,0.6104,0.6215,0.5694,1463.18,219105847584000.0,0.51
2300,51.44,94.66,0.895208,1.003768,0.5941,0.6025,0.6155,0.6225,0.5693,1558.95,237665387174400.0,0.51
2400,52.88,103.28,1.089671,1.002038,0.5946,0.6041,0.6179,0.625,0.5695,1654.29,256269893472000.0,0.505
2500,49.97,89.38,0.726852,1.001023,0.5937,0.6043,0.6164,0.6248,0.5717,1749.73,274899103430400.0,0.505
