step,interval_time_s,cum_time_s,loss,gpu_mem_gb
100,45.087,45.087,0.540894,0.567
200,45.084,90.171,0.520075,0.567
300,40.031,130.201,0.531737,0.567
400,46.394,176.595,0.516459,0.567
500,44.957,221.553,0.520849,0.567
600,41.064,262.617,0.517402,0.568
700,39.166,301.783,0.515272,0.568
800,40.338,342.121,0.527322,0.568
900,42.911,385.031,0.511556,0.568
1000,39.048,424.079,0.516633,0.568
1100,36.818,460.897,0.514805,0.568
1200,37.497,498.394,0.513659,0.568
1300,34.118,532.512,0.525907,0.568
1400,36.719,569.231,0.510904,0.568
1500,38.791,608.023,0.515997,0.568
1600,35.494,643.517,0.514035,0.568
1700,35.059,678.576,0.513114,0.568
1800,36.757,715.333,0.525203,0.568
1900,38.114,753.447,0.510358,0.568
2000,34.022,787.470,0.515418,0.568
2100,36.458,823.928,0.513225,0.568
2200,38.234,862.161,0.512292,0.568
2300,32.110,894.272,0.524105,0.568
2400,37.662,931.934,0.509405,0.568
2500,36.210,968.144,0.514287,0.568
