step,mean_features,train_loss,val_loss,val_acc,val_auc,val_auc_easy,val_auc_medium,val_auc_hard,cum_time_s,cum_flops,peak_gpu_gb
100,9.0,1.23233,0.999864,0.5578,0.5117,0.4956,0.4946,0.5451,28.79,217768262400.0,0.151
200,16.0,1.047322,0.955477,0.5943,0.5157,0.5053,0.5365,0.5054,57.5,436812998400.0,0.205
300,23.0,1.060484,0.937185,0.5977,0.5249,0.5205,0.543,0.5113,86.31,657153504000.0,0.259
400,30.0,0.907237,0.931696,0.5967,0.5262,0.522,0.5434,0.5131,115.23,878778950400.0,0.317
500,37.0,0.960957,0.930118,0.5998,0.529,0.5105,0.5489,0.5278,144.21,1101686976000.0,0.369
600,44.0,0.849708,0.93761,0.603,0.5286,0.5066,0.5527,0.5266,173.24,1325886336000.0,0.426
700,51.0,0.820687,0.942849,0.5929,0.5327,0.5076,0.5601,0.5305,202.34,1551369657600.0,0.493
800,58.0,0.895903,0.951651,0.5897,0.5329,0.5111,0.5611,0.5265,231.43,1778132851200.0,0.538
900,7.0,0.994325,0.910636,0.611,0.553,0.5393,0.5812,0.5386,260.11,1999041235200.0,0.558
1000,13.94,0.994799,0.913156,0.6124,0.5807,0.568,0.5867,0.5875,288.7,2217656102400.0,0.187
1100,21.0,1.102645,0.894647,0.6274,0.581,0.5763,0.5746,0.592,317.38,2437564262400.0,0.243
1200,27.91,0.790893,0.882286,0.6295,0.5805,0.5801,0.5788,0.5825,346.27,2658764044800.0,0.296
1300,34.59,1.070757,0.884863,0.6306,0.5813,0.5841,0.5695,0.5904,375.26,2881239782400.0,0.351
1400,41.56,1.163068,0.887747,0.6269,0.5836,0.5859,0.5616,0.6033,404.27,3105009561600.0,0.407
1500,48.0,0.87954,0.892251,0.6266,0.5873,0.5859,0.5658,0.6102,433.32,3330066528000.0,0.459
1600,55.0,0.903162,0.894866,0.625,0.5888,0.583,0.573,0.6105,462.42,3556407513600.0,0.52
1700,4.0,0.873692,0.881089,0.6309,0.5896,0.5843,0.5707,0.614,491.31,3780455961600.0,0.559
1800,11.0,0.895118,0.876348,0.6302,0.5929,0.5914,0.5724,0.6148,519.85,3998647526400.0,0.166
1900,18.0,0.7113,0.872343,0.634,0.5938,0.5941,0.5705,0.6168,548.61,4218124032000.0,0.221
2000,25.0,0.927164,0.870588,0.637,0.5948,0.5992,0.5739,0.6113,577.54,4438894694400.0,0.275
2100,32.0,0.885799,0.869706,0.6378,0.5959,0.5989,0.5744,0.6145,606.52,4660945804800.0,0.327
2200,39.0,0.850123,0.868534,0.6372,0.5952,0.597,0.5748,0.6139,635.83,4884284908800.0,0.389
2300,46.0,0.91335,0.867211,0.6371,0.5969,0.5969,0.5774,0.6163,664.64,5108914368000.0,0.441
2400,53.0,1.07957,0.867571,0.6362,0.5975,0.5982,0.5764,0.6178,693.5,5334826003200.0,0.5
2500,60.0,0.975753,0.867622,0.6377,0.5971,0.5992,0.5735,0.6185,722.39,5562012211200.0,0.559
