step,mean_features,mean_classes,mean_context,train_loss,val_loss,val_acc,val_auc,val_auc_easy,val_auc_medium,val_auc_hard,cum_time_s,cum_flops,peak_gpu_gb
100,32.12,3.62,26.0,1.015852,1.041053,0.5432,0.506,0.5093,0.49,0.5188,29.59,222534892800.0,0.39
200,30.69,4.5,32.0,1.094368,1.014941,0.5638,0.5131,0.5179,0.5009,0.5206,58.38,444922329600.0,0.395
300,29.97,3.94,39.0,0.999695,0.999942,0.5745,0.5207,0.5252,0.5123,0.5247,87.27,667396569600.0,0.404
400,28.47,4.22,45.0,1.109795,0.99481,0.5743,0.5265,0.5238,0.5149,0.5407,116.12,889947360000.0,0.407
500,24.78,3.5,51.0,0.915478,0.985014,0.5723,0.5292,0.5231,0.5186,0.5458,144.94,1112460019200.0,0.423
600,29.75,4.06,58.0,0.995027,0.982718,0.5735,0.5406,0.5362,0.5317,0.5539,173.84,1334977689600.0,0.425
700,30.81,4.03,64.0,0.996862,0.980005,0.573,0.5445,0.5365,0.5335,0.5636,202.92,1557489600000.0,0.432
800,29.78,4.56,71.0,1.145747,0.975546,0.5811,0.5479,0.5356,0.5413,0.5668,231.82,1780075123200.0,0.434
900,27.59,3.41,77.0,0.826959,0.973989,0.5813,0.5562,0.5385,0.5509,0.5791,261.48,2002571078400.0,0.437
1000,29.84,3.69,83.0,0.927254,0.969326,0.584,0.5678,0.5528,0.5563,0.5942,290.43,2225007705600.0,0.444
1100,26.09,4.03,90.0,0.94625,0.964372,0.5843,0.5771,0.5643,0.5647,0.6022,319.37,2447461440000.0,0.449
1200,33.41,3.44,96.0,0.772428,0.960322,0.5853,0.5844,0.5675,0.5756,0.61,348.34,2669975078400.0,0.454
1300,32.34,4.12,102.66,0.928535,0.955357,0.5896,0.59,0.57,0.5863,0.6137,377.25,2892400416000.0,0.46
1400,29.34,3.31,109.0,0.780983,0.952469,0.5927,0.5947,0.5744,0.5936,0.6162,406.18,3114875750400.0,0.464
1500,32.25,3.94,115.0,0.875734,0.949411,0.594,0.5994,0.5741,0.6046,0.6195,435.1,3337253280000.0,0.47
1600,26.78,3.19,122.0,0.712321,0.94689,0.5974,0.5997,0.5758,0.6064,0.6168,464.06,3559706323200.0,0.478
1700,30.16,3.31,128.0,0.805026,0.947167,0.5981,0.5999,0.5794,0.6079,0.6123,493.01,3782250662400.0,0.483
1800,30.0,4.22,134.0,1.012488,0.947979,0.5997,0.6034,0.5844,0.6125,0.6133,522.0,4004639654400.0,0.488
1900,27.56,3.88,141.0,0.904074,0.947861,0.6033,0.6053,0.5822,0.6177,0.6159,550.92,4227153235200.0,0.493
2000,36.44,4.06,147.0,0.972518,0.947953,0.6013,0.6054,0.5778,0.6222,0.6162,579.88,4449638880000.0,0.502
2100,35.91,3.75,154.0,0.894646,0.94877,0.602,0.6045,0.5724,0.6238,0.6172,608.88,4672112025600.0,0.513
2200,29.03,3.47,160.0,0.798153,0.951446,0.6024,0.6046,0.5715,0.6247,0.6177,638.16,4894613049600.0,0.521
2300,35.25,3.66,167.0,0.921035,0.952495,0.6001,0.605,0.5783,0.6217,0.6151,667.0,5117087404800.0,0.536
2400,34.38,3.69,173.0,0.886738,0.952759,0.5999,0.6051,0.5806,0.6198,0.615,695.81,5339555308800.0,0.548
2500,32.19,3.88,179.0,0.969759,0.955983,0.6002,0.6068,0.5841,0.6227,0.6136,724.6,5562012211200.0,0.559
