step,mean_features,mean_context,train_loss,val_loss,val_acc,val_auc,val_auc_easy,val_auc_medium,val_auc_hard,cum_time_s,cum_flops,peak_gpu_gb
100,14.34,112.19,0.943718,1.064452,0.5508,0.5193,0.5228,0.5054,0.5297,57.54,5590161216000.0,0.261
200,17.72,87.31,1.170632,1.032805,0.5633,0.5213,0.5196,0.5148,0.5294,114.81,11203343884800.0,0.256
300,14.25,99.84,0.838042,1.017967,0.5711,0.5328,0.5328,0.5296,0.536,171.96,16773035558400.0,0.256
400,14.97,108.0,0.855037,1.006307,0.5727,0.5427,0.5323,0.5405,0.5553,229.52,22301185766400.0,0.261
500,16.81,95.81,0.852966,0.997477,0.5752,0.5595,0.5394,0.5683,0.5707,286.78,27866645222400.0,0.256
600,18.5,109.16,0.79429,0.98494,0.584,0.5842,0.5863,0.5771,0.5891,344.2,33463293004800.0,0.257
700,16.06,99.03,1.045514,0.973491,0.5914,0.5929,0.6066,0.5919,0.5802,401.66,39084859411200.0,0.253
800,14.78,91.97,1.084613,0.969361,0.5955,0.5948,0.6093,0.6026,0.5726,459.02,44645200358400.0,0.255
900,16.47,106.31,0.804719,0.96659,0.5927,0.597,0.6085,0.6076,0.5751,516.67,50231958451200.0,0.255
1000,13.91,91.81,0.884457,0.964301,0.5949,0.5978,0.6092,0.6048,0.5792,573.94,55850576889600.0,0.261
1100,13.53,102.16,0.800118,0.961559,0.5965,0.598,0.6102,0.6015,0.5823,631.55,61419484915200.0,0.253
1200,15.28,100.75,0.852619,0.960941,0.5979,0.5992,0.6052,0.6068,0.5856,689.08,67042424736000.0,0.261
1300,32.0,87.91,0.882663,0.960128,0.5977,0.5989,0.6013,0.6099,0.5853,751.23,77851431936000.0,0.278
1400,34.0,96.56,1.11236,0.958443,0.5978,0.6012,0.6004,0.6151,0.5881,816.74,89491729651200.0,0.295
1500,37.0,91.09,0.818686,0.95707,0.5984,0.6035,0.6034,0.6175,0.5896,885.61,101974074854400.0,0.318
1600,39.0,97.44,0.969814,0.95693,0.5974,0.6038,0.6011,0.619,0.5912,958.69,115348120588800.0,0.335
1700,41.0,110.84,0.872718,0.956002,0.5982,0.604,0.5972,0.6188,0.596,1036.46,129554861529600.0,0.353
1800,44.0,103.56,1.07332,0.954645,0.6003,0.6055,0.6016,0.6204,0.5944,1118.19,144610276320000.0,0.376
1900,46.0,95.31,1.135569,0.95426,0.601,0.6052,0.603,0.6211,0.5915,1204.22,160577556019200.0,0.391
2000,48.0,109.62,1.09035,0.953281,0.6019,0.6065,0.6059,0.6207,0.593,1293.51,177396873984000.0,0.407
2100,51.0,109.53,0.944347,0.952539,0.6024,0.6082,0.6093,0.6224,0.5929,1387.82,195096559910400.0,0.441
2200,53.0,108.97,0.978313,0.950405,0.6037,0.6096,0.6134,0.6241,0.5913,1486.75,213700613817600.0,0.451
2300,55.0,96.38,0.830319,0.949117,0.6054,0.6094,0.6139,0.623,0.5913,1589.48,233185334112000.0,0.469
2400,58.0,103.06,1.012172,0.948035,0.6069,0.6084,0.6097,0.624,0.5915,1697.2,253590593356800.0,0.492
2500,58.41,84.75,0.843099,0.946549,0.6068,0.6066,0.607,0.6257,0.5872,1809.3,274899927340800.0,0.509
