step,mean_features,mean_context,train_loss,val_loss,val_acc,val_auc,val_auc_easy,val_auc_medium,val_auc_hard,cum_time_s,cum_flops,peak_gpu_gb
100,23.34,106.0,0.96092,1.07406,0.5515,0.4909,0.4682,0.5044,0.5,61.97,8010274464000.0,0.372
200,19.78,103.0,1.119927,1.038208,0.5585,0.5174,0.5162,0.5027,0.5334,123.53,15981805612800.0,0.373
300,21.34,107.72,0.718442,1.01681,0.5671,0.524,0.526,0.5116,0.5345,185.59,23860275494400.0,0.366
400,16.78,103.12,1.142062,1.007076,0.5752,0.5302,0.5256,0.5276,0.5376,247.69,31874603328000.0,0.373
500,24.06,102.34,0.99617,1.003058,0.5746,0.538,0.5204,0.5462,0.5474,309.42,39752541158400.0,0.364
600,20.81,88.31,0.968647,0.997392,0.5786,0.5323,0.5098,0.5427,0.5444,371.34,47893859884800.0,0.373
700,19.12,94.5,0.804606,0.99409,0.5784,0.541,0.5349,0.5482,0.54,432.87,56010128313600.0,0.373
800,23.66,102.28,0.862217,0.990829,0.578,0.5537,0.5666,0.5436,0.5511,493.97,63993993408000.0,0.373
900,27.22,103.25,0.868156,0.988448,0.5748,0.5622,0.5844,0.549,0.5533,555.83,71959679251200.0,0.373
1000,24.03,98.53,0.865143,0.983954,0.5814,0.5752,0.5866,0.575,0.5639,617.55,80054004672000.0,0.364
1100,22.0,105.62,0.963481,0.97776,0.5832,0.5906,0.5993,0.5969,0.5757,679.1,88006422585600.0,0.373
1200,21.69,106.0,0.834171,0.970667,0.5892,0.5969,0.6055,0.602,0.5832,741.01,96226416115200.0,0.372
1300,23.44,97.31,0.797612,0.966016,0.5965,0.5967,0.6062,0.6022,0.5818,802.74,104303828390400.0,0.358
1400,21.56,96.84,0.806093,0.962108,0.5965,0.5972,0.6158,0.5958,0.5799,864.1,112291773811200.0,0.372
1500,26.22,89.91,0.887584,0.95764,0.597,0.5978,0.6214,0.5965,0.5756,925.52,120348060249600.0,0.373
1600,21.44,99.62,0.916635,0.953909,0.5959,0.6005,0.6217,0.5971,0.5827,986.54,128367896601600.0,0.373
1700,23.97,103.38,1.017852,0.950495,0.5988,0.6017,0.6199,0.6045,0.5808,1047.77,136262447251200.0,0.373
1800,53.88,96.38,0.871258,0.947354,0.6027,0.6051,0.6242,0.6121,0.5791,1110.62,144745518931200.0,0.48
1900,46.0,100.56,0.991666,0.94607,0.6032,0.6056,0.6216,0.6202,0.5749,1196.68,160683361804800.0,0.392
2000,48.0,106.88,0.904236,0.945771,0.605,0.6053,0.6206,0.6207,0.5746,1285.76,177473068761600.0,0.407
2100,51.0,105.38,0.982702,0.944813,0.6039,0.6046,0.6168,0.6214,0.5754,1379.68,195128011584000.0,0.442
2200,53.0,93.22,0.894275,0.943708,0.6043,0.6021,0.6117,0.6221,0.5724,1478.43,213702019027200.0,0.449
2300,55.0,90.62,1.00699,0.943811,0.6036,0.6023,0.6111,0.6239,0.5718,1580.84,233156518675200.0,0.472
2400,58.0,105.78,0.952864,0.943857,0.6028,0.6027,0.6117,0.6251,0.5713,1688.12,253516120358400.0,0.493
2500,60.0,91.78,0.803819,0.943506,0.6042,0.604,0.6121,0.6265,0.5735,1799.64,274800570624000.0,0.508
