step,toy_roc_auc
100,0.3591
200,0.9306
300,0.1812
400,0.2348
500,0.1640
600,0.3022
700,0.5000
800,0.5456
900,0.5873
1000,0.5000
1100,0.5000
1200,0.5556
1300,0.5000
1400,0.4557
1500,0.4643
1600,0.4266
1700,0.4048
1800,0.3810
1900,0.4365
2000,0.4762
2100,0.5000
2200,0.5000
2300,0.5000
2400,0.4762
2500,0.3948
