step,mean_features,mean_classes,mean_context,train_loss,val_loss,val_acc,val_auc,val_auc_easy,val_auc_medium,val_auc_hard,cum_time_s,cum_flops,peak_gpu_gb
100,58.0,3.59,103.09,1.034928,1.00881,0.5949,0.5167,0.5047,0.5337,0.5116,29.03,227610547200.0,0.559
200,55.0,4.59,95.19,1.230892,0.97107,0.5983,0.5204,0.5356,0.5247,0.501,57.32,454798771200.0,0.541
300,53.0,3.5,102.88,0.80885,0.956465,0.6064,0.5258,0.5446,0.5188,0.5141,85.59,681559027200.0,0.516
400,51.0,3.47,88.66,0.929623,0.953449,0.5991,0.5278,0.5442,0.5234,0.5158,113.81,907900646400.0,0.502
500,48.34,3.59,86.44,0.865939,0.955254,0.6009,0.5256,0.5376,0.5248,0.5143,142.03,1133822073600.0,0.488
600,46.0,4.41,99.72,1.124958,0.951883,0.5972,0.5253,0.5355,0.527,0.5133,170.27,1359294508800.0,0.456
700,44.0,3.81,98.88,0.906488,0.944851,0.6004,0.5282,0.5343,0.5315,0.5188,198.41,1584350956800.0,0.443
800,42.0,4.0,96.91,1.014774,0.941569,0.6016,0.5315,0.5355,0.5408,0.5184,226.62,1808993260800.0,0.425
900,39.0,3.66,100.0,0.921367,0.939874,0.6047,0.534,0.5389,0.5485,0.5145,254.84,2033183289600.0,0.401
1000,37.0,3.78,85.0,0.896267,0.935995,0.6077,0.5337,0.5393,0.5529,0.5088,283.0,2256949497600.0,0.389
1100,35.0,3.78,91.75,0.935284,0.932392,0.609,0.5332,0.5382,0.5476,0.5137,311.13,2480302944000.0,0.371
1200,32.0,3.47,109.09,0.835446,0.92967,0.6141,0.5316,0.5411,0.5422,0.5113,339.26,2703201120000.0,0.345
1300,30.0,4.22,94.19,1.01821,0.92674,0.6153,0.5346,0.5522,0.5411,0.5104,367.46,2925673862400.0,0.327
1400,28.0,3.66,75.91,0.915083,0.9266,0.617,0.5395,0.562,0.5436,0.5128,395.7,3147730387200.0,0.317
1500,25.0,3.09,112.84,0.805683,0.926249,0.6154,0.5436,0.5689,0.5439,0.518,423.92,3369354969600.0,0.296
1600,23.0,3.91,92.09,0.995489,0.925196,0.613,0.5447,0.5735,0.5428,0.5177,452.09,3590550547200.0,0.277
1700,21.0,3.56,98.59,0.830928,0.923407,0.6142,0.5441,0.5712,0.5428,0.5182,480.19,3811330310400.0,0.259
1800,18.0,3.06,99.97,0.795719,0.918784,0.616,0.5467,0.5734,0.5432,0.5236,508.3,4031667187200.0,0.245
1900,16.0,3.72,96.84,0.983946,0.915741,0.6158,0.552,0.5847,0.5388,0.5325,536.38,4251572352000.0,0.222
2000,14.0,3.91,97.59,0.994285,0.912478,0.6142,0.5576,0.5977,0.5391,0.5362,564.48,4471055424000.0,0.206
2100,11.0,3.78,100.06,0.971324,0.910251,0.6124,0.5628,0.6102,0.5415,0.5366,592.5,4690096992000.0,0.187
2200,9.0,3.75,86.97,0.910343,0.907921,0.6164,0.564,0.6072,0.5457,0.5392,620.6,4908707078400.0,0.167
2300,7.0,3.28,116.62,0.829606,0.904854,0.6191,0.5662,0.6083,0.548,0.5424,648.48,5126900486400.0,0.16
2400,4.0,3.12,103.38,0.790057,0.903169,0.6194,0.5694,0.6047,0.558,0.5457,676.09,5344671916800.0,0.16
2500,2.0,3.09,94.78,0.697195,0.905127,0.62,0.5699,0.6042,0.5615,0.5441,703.57,5562012211200.0,0.16
