step,mean_features,mean_classes,mean_context,train_loss,val_loss,val_acc,val_auc,val_auc_easy,val_auc_medium,val_auc_hard,cum_time_s,cum_flops,peak_gpu_gb
100,58.0,3.59,103.09,1.054326,1.02552,0.5517,0.5052,0.4788,0.4807,0.5561,30.09,227610547200.0,0.559
200,55.0,4.59,95.19,1.232205,1.007498,0.5697,0.5242,0.518,0.5371,0.5176,60.3,454798771200.0,0.541
300,53.0,3.5,102.88,0.818451,1.021159,0.5676,0.5231,0.52,0.5355,0.5137,90.14,681559027200.0,0.516
400,51.0,3.47,88.66,0.923724,1.017607,0.5625,0.5245,0.5029,0.5511,0.5196,125.6,907900646400.0,0.502
500,48.34,3.59,86.44,0.85262,1.012244,0.5713,0.5224,0.5019,0.5508,0.5144,163.15,1133822073600.0,0.488
600,46.0,4.41,99.72,1.130191,0.992479,0.5752,0.5227,0.4998,0.5459,0.5223,200.8,1359294508800.0,0.457
700,44.0,3.81,98.88,0.904046,0.989663,0.5646,0.5218,0.5023,0.5434,0.5196,234.04,1584350956800.0,0.443
800,42.0,4.0,96.91,1.00932,0.981264,0.5825,0.5242,0.5073,0.5457,0.5196,265.64,1808993260800.0,0.425
900,39.0,3.66,100.0,0.921556,0.981361,0.5847,0.5307,0.5117,0.5532,0.5273,297.74,2033183289600.0,0.401
1000,37.0,3.78,85.0,0.900208,0.974635,0.5842,0.5334,0.5184,0.549,0.5328,329.34,2256949497600.0,0.389
1100,35.0,3.78,91.75,0.939609,0.962246,0.5885,0.5312,0.5182,0.5483,0.527,361.41,2480302944000.0,0.371
1200,32.0,3.47,109.09,0.828853,0.956714,0.5925,0.5342,0.5212,0.5528,0.5287,392.85,2703201120000.0,0.345
1300,30.0,4.22,94.19,1.019695,0.951839,0.593,0.5372,0.5235,0.5561,0.532,424.38,2925673862400.0,0.327
1400,28.0,3.66,75.91,0.917483,0.944656,0.5924,0.5421,0.5301,0.5567,0.5396,455.45,3147730387200.0,0.317
1500,25.0,3.09,112.84,0.798207,0.94141,0.5912,0.5431,0.5377,0.5518,0.5397,486.43,3369354969600.0,0.296
1600,23.0,3.91,92.09,0.99064,0.933673,0.5894,0.5437,0.5344,0.555,0.5416,517.31,3590550547200.0,0.277
1700,21.0,3.56,98.59,0.822826,0.928818,0.5952,0.5525,0.5368,0.5669,0.5538,548.26,3811330310400.0,0.259
1800,18.0,3.06,99.97,0.791896,0.922693,0.6015,0.5607,0.5479,0.5691,0.5653,580.01,4031667187200.0,0.245
1900,16.0,3.72,96.84,0.984714,0.916965,0.6138,0.5732,0.5623,0.5718,0.5854,612.09,4251572352000.0,0.222
2000,14.0,3.91,97.59,1.003644,0.913345,0.6137,0.582,0.576,0.576,0.594,644.02,4471055424000.0,0.206
2100,11.0,3.78,100.06,0.96993,0.910601,0.6168,0.5866,0.5818,0.5818,0.5963,675.96,4690096992000.0,0.187
2200,9.0,3.75,86.97,0.878787,0.911311,0.615,0.5899,0.5893,0.5808,0.5997,708.15,4908707078400.0,0.167
2300,7.0,3.28,116.62,0.82334,0.920511,0.6134,0.5927,0.593,0.5814,0.6036,739.57,5126900486400.0,0.151
2400,4.0,3.12,103.38,0.776428,0.947873,0.6192,0.593,0.5929,0.5811,0.6052,770.68,5344671916800.0,0.15
2500,2.0,3.09,94.78,0.696913,0.99617,0.6163,0.5917,0.5877,0.582,0.6055,801.31,5562012211200.0,0.15
