step,mean_features,mean_classes,mean_context,train_loss,val_loss,val_acc,val_auc,val_auc_easy,val_auc_medium,val_auc_hard,cum_time_s,cum_flops,peak_gpu_gb
100,32.69,3.56,173.0,1.032596,0.98067,0.5792,0.4903,0.4596,0.4787,0.5327,29.25,222483283200.0,0.558
200,28.91,4.56,167.0,1.194394,0.949823,0.5981,0.5103,0.512,0.5317,0.4872,57.68,444952339200.0,0.546
300,26.88,3.56,160.0,0.93384,0.927887,0.5999,0.5201,0.5101,0.5361,0.514,86.17,667384704000.0,0.535
400,33.78,3.03,154.0,0.770557,0.919484,0.6056,0.5173,0.5035,0.5343,0.5142,114.69,889895174400.0,0.52
500,27.25,3.72,147.0,0.920968,0.912651,0.6109,0.529,0.5169,0.54,0.5302,143.25,1112392972800.0,0.509
600,31.12,3.72,141.0,0.911329,0.90349,0.6134,0.5351,0.5206,0.5516,0.533,171.73,1334857363200.0,0.5
700,31.81,3.94,134.0,1.065898,0.899785,0.6169,0.563,0.539,0.5645,0.5855,200.21,1557373420800.0,0.493
800,32.12,3.34,128.0,0.818925,0.894357,0.6182,0.5694,0.5736,0.5447,0.5899,228.61,1779787929600.0,0.489
900,28.5,4.0,122.0,0.946362,0.893597,0.624,0.5667,0.5685,0.5416,0.5899,257.23,2002286016000.0,0.483
1000,28.22,4.06,115.0,0.953689,0.895906,0.6231,0.5775,0.5806,0.555,0.5969,289.84,2224717920000.0,0.475
1100,29.25,3.81,109.0,0.94219,0.893601,0.6263,0.5878,0.5915,0.5618,0.6101,324.65,2447138419200.0,0.468
1200,28.72,4.16,103.0,1.01489,0.88673,0.6297,0.5938,0.5976,0.5729,0.6108,359.44,2669602233600.0,0.461
1300,32.06,4.31,96.0,1.012766,0.88185,0.6324,0.5969,0.6052,0.5766,0.6088,394.19,2892052281600.0,0.458
1400,30.78,3.88,90.0,0.940644,0.87783,0.6322,0.5999,0.6086,0.5859,0.6051,428.99,3114523929600.0,0.451
1500,29.38,3.47,83.0,0.841637,0.874654,0.6327,0.6002,0.6085,0.5928,0.5994,463.76,3336998572800.0,0.45
1600,31.72,3.22,77.0,0.707545,0.871759,0.6331,0.5968,0.6063,0.5959,0.5881,498.54,3559418553600.0,0.441
1700,26.38,3.34,71.0,0.783295,0.870268,0.6344,0.5949,0.6051,0.597,0.5826,533.32,3781942444800.0,0.436
1800,29.81,4.19,64.0,0.963599,0.869854,0.6355,0.5945,0.6026,0.5929,0.5879,568.07,4004537587200.0,0.431
1900,32.5,3.5,58.0,0.851856,0.867863,0.6357,0.5959,0.6053,0.5949,0.5875,603.07,4227022483200.0,0.429
2000,26.59,4.19,51.0,1.010928,0.865903,0.6367,0.5934,0.6066,0.5947,0.5789,637.88,4449569472000.0,0.428
2100,28.47,3.78,45.0,0.870633,0.866228,0.6351,0.5921,0.6062,0.5877,0.5823,672.5,4672051027200.0,0.422
2200,36.5,3.28,39.0,0.881301,0.86518,0.6349,0.589,0.5989,0.5881,0.5801,707.04,4894615756800.0,0.408
2300,26.84,3.75,32.0,0.863768,0.864574,0.6347,0.5857,0.5967,0.5933,0.5671,741.56,5117073523200.0,0.402
2400,29.12,4.25,26.0,1.03331,0.864964,0.6334,0.5859,0.595,0.5983,0.5643,775.36,5339468736000.0,0.395
2500,36.78,4.34,20.0,1.099063,0.867674,0.6322,0.5858,0.5926,0.6026,0.5623,809.97,5562012211200.0,0.389
