step,mean_features,mean_context,train_loss,val_loss,val_acc,val_auc,val_auc_easy,val_auc_medium,val_auc_hard,cum_time_s,cum_flops,peak_gpu_gb
100,21.44,110.0,0.9835,1.066584,0.5492,0.505,0.4786,0.5212,0.5151,60.47,7975134028800.0,0.372
200,22.03,97.09,0.921018,1.040384,0.5592,0.5148,0.5012,0.5104,0.5327,120.01,15943774233600.0,0.372
300,18.34,82.56,1.220359,1.022245,0.5673,0.5324,0.5343,0.5223,0.5405,179.89,24002654400000.0,0.372
400,22.03,102.12,1.053398,1.010726,0.5744,0.5485,0.5449,0.543,0.5576,239.92,32156273894400.0,0.372
500,21.47,109.88,0.799694,1.005106,0.5735,0.5746,0.574,0.5838,0.5659,299.59,40182429888000.0,0.363
600,20.69,109.53,0.949297,0.988778,0.5848,0.5889,0.5806,0.6119,0.5743,359.6,48155203296000.0,0.372
700,21.53,106.62,0.936754,0.978433,0.59,0.5895,0.5862,0.6054,0.5768,420.38,56156773478400.0,0.372
800,25.47,114.09,0.993101,0.973118,0.5939,0.5906,0.5886,0.6078,0.5753,481.05,64127710713600.0,0.372
900,18.25,98.94,1.038047,0.96711,0.5952,0.5941,0.5969,0.6057,0.5797,541.42,72221805100800.0,0.372
1000,24.28,109.28,0.882134,0.963765,0.5924,0.5978,0.6057,0.608,0.5798,601.29,80121368678400.0,0.375
1100,24.28,90.12,1.095412,0.961928,0.5972,0.5964,0.6024,0.6069,0.58,661.48,88210273363200.0,0.364
1200,21.38,106.41,1.100088,0.959742,0.5973,0.5954,0.602,0.6071,0.577,721.49,96173643513600.0,0.372
1300,23.66,111.22,0.91621,0.958489,0.5966,0.5975,0.6051,0.6122,0.5753,781.82,104237488915200.0,0.372
1400,22.38,94.78,0.828635,0.956761,0.5952,0.5984,0.6044,0.6137,0.577,843.45,112201259443200.0,0.364
1500,23.16,103.91,0.844075,0.955591,0.5952,0.5998,0.6041,0.6169,0.5785,903.92,120276888940800.0,0.372
1600,25.22,104.09,0.986737,0.954389,0.5973,0.5994,0.6055,0.6126,0.5799,964.43,128301515827200.0,0.372
1700,26.56,93.5,0.904756,0.952645,0.5968,0.6013,0.6062,0.6138,0.584,1025.37,136488858969600.0,0.363
1800,22.19,99.84,0.989038,0.95213,0.5993,0.6026,0.6051,0.6148,0.5878,1085.95,144610276320000.0,0.375
1900,46.0,95.31,1.127632,0.951196,0.5995,0.6038,0.6054,0.6175,0.5886,1171.81,160577556019200.0,0.391
2000,48.0,109.62,1.066742,0.949762,0.602,0.6056,0.607,0.6197,0.5901,1261.11,177396873984000.0,0.407
2100,51.0,109.53,0.918172,0.948874,0.6004,0.6042,0.6045,0.6201,0.5881,1355.44,195096559910400.0,0.44
2200,53.0,108.97,0.978626,0.946952,0.602,0.6049,0.6058,0.6194,0.5894,1454.37,213700613817600.0,0.45
2300,55.0,96.38,0.82851,0.945932,0.6018,0.6051,0.6076,0.6167,0.5909,1557.08,233185334112000.0,0.47
2400,58.0,103.06,1.016725,0.945114,0.6021,0.6052,0.6081,0.6172,0.5904,1664.76,253590593356800.0,0.493
2500,59.0,88.22,0.856656,0.943752,0.6028,0.6048,0.6088,0.6154,0.5901,1776.81,274901972774400.0,0.509
