step,mean_features,mean_context,train_loss,val_loss,val_acc,val_auc,val_auc_easy,val_auc_medium,val_auc_hard,cum_time_s,cum_flops,peak_gpu_gb
100,4.0,95.84,1.002408,1.132041,0.534,0.5007,0.5091,0.4927,0.5003,52.94,1340560281600.0,0.063
200,7.0,91.62,0.902091,1.095147,0.5461,0.5251,0.517,0.5243,0.5339,105.8,3428892345600.0,0.102
300,9.0,86.41,1.132946,1.098129,0.5486,0.5393,0.5275,0.5346,0.5556,158.43,6289114406400.0,0.102
400,11.0,101.84,0.915608,1.08206,0.5546,0.5502,0.554,0.5447,0.5518,211.49,9891698400000.0,0.116
500,13.0,101.72,0.916196,1.078742,0.5629,0.5619,0.5587,0.5567,0.5704,264.69,14256157939200.0,0.133
600,16.0,112.12,0.863856,1.049038,0.5753,0.5721,0.5839,0.5672,0.5651,318.48,19410829286400.0,0.156
700,18.0,90.16,1.005115,1.024747,0.5841,0.5882,0.6052,0.5884,0.571,371.98,25348161600000.0,0.172
800,20.0,92.94,0.982279,1.024291,0.5867,0.5811,0.5927,0.5843,0.5663,425.39,32060141798400.0,0.187
900,23.0,108.34,0.985096,1.02419,0.5901,0.5897,0.6014,0.5904,0.5773,479.05,39598467148800.0,0.21
1000,25.0,90.06,0.909823,1.01875,0.5879,0.5918,0.6006,0.5972,0.5775,533.26,47957551027200.0,0.225
1100,27.0,109.84,0.91059,1.020244,0.5887,0.5953,0.6036,0.6029,0.5795,589.34,57093271718400.0,0.242
1200,30.0,93.47,0.762556,1.024103,0.5862,0.5935,0.5987,0.6075,0.5744,647.25,67042424736000.0,0.259
1300,32.0,87.91,0.88843,1.016227,0.5881,0.5935,0.5966,0.61,0.5738,707.61,77851431936000.0,0.28
1400,34.0,96.56,1.109727,1.014249,0.5892,0.5963,0.6026,0.6135,0.573,771.41,89491729651200.0,0.296
1500,37.0,91.09,0.822436,1.017367,0.5866,0.5973,0.6041,0.6108,0.577,838.44,101974074854400.0,0.32
1600,39.0,97.44,0.97988,1.018816,0.5884,0.5961,0.6017,0.6095,0.5773,909.25,115348120588800.0,0.337
1700,41.0,110.84,0.875361,1.019559,0.5881,0.5952,0.5989,0.6076,0.579,984.52,129554861529600.0,0.35
1800,44.0,103.56,1.07657,1.019411,0.5881,0.5952,0.5971,0.6077,0.5807,1063.58,144610276320000.0,0.375
1900,46.0,95.31,1.130549,1.016921,0.5877,0.5996,0.5997,0.6184,0.5807,1146.8,160577556019200.0,0.393
2000,48.0,109.62,1.07963,1.0153,0.5884,0.6023,0.6017,0.6231,0.5821,1233.14,177396873984000.0,0.409
2100,51.0,109.53,0.918363,1.016263,0.5868,0.6026,0.5971,0.6275,0.5831,1324.31,195096559910400.0,0.439
2200,53.0,108.97,0.979665,1.01742,0.5837,0.603,0.599,0.6278,0.5821,1419.95,213700613817600.0,0.449
2300,55.0,96.38,0.834254,1.020916,0.5825,0.6029,0.5976,0.6273,0.5838,1519.23,233185334112000.0,0.47
2400,58.0,103.06,1.01979,1.025429,0.5834,0.6015,0.5963,0.6256,0.5825,1623.2,253590593356800.0,0.492
2500,58.16,83.47,0.834368,1.027329,0.582,0.602,0.5963,0.6254,0.5842,1731.26,274899103430400.0,0.51
