step,mean_features,train_loss,val_loss,val_acc,val_auc,val_auc_easy,val_auc_medium,val_auc_hard,cum_time_s,cum_flops,peak_gpu_gb
100,25.03,1.053696,1.048731,0.5379,0.5094,0.4925,0.5281,0.5076,29.43,222489158400.0,0.555
200,34.16,1.12841,1.016962,0.561,0.5196,0.5088,0.516,0.534,58.47,444945657600.0,0.555
300,29.0,0.801851,0.999698,0.5683,0.5237,0.5245,0.5161,0.5304,87.44,667470700800.0,0.558
400,31.97,1.102336,0.989906,0.5775,0.5229,0.5145,0.5278,0.5264,116.39,889851340800.0,0.54
500,32.16,0.879692,0.985974,0.5785,0.5261,0.5187,0.5243,0.5353,145.33,1112322297600.0,0.558
600,33.84,1.092946,0.983639,0.5745,0.5217,0.5307,0.5057,0.5286,174.28,1334780985600.0,0.558
700,29.56,0.820485,0.982295,0.5715,0.5263,0.5294,0.5133,0.5361,203.24,1557220953600.0,0.558
800,27.84,1.023223,0.980472,0.5753,0.5367,0.5285,0.5396,0.5419,232.18,1779732748800.0,0.551
900,33.78,0.98539,0.978528,0.5796,0.5513,0.5328,0.566,0.5552,261.14,2002212000000.0,0.555
1000,30.72,0.980481,0.974298,0.5822,0.5703,0.549,0.5827,0.5791,290.25,2224775347200.0,0.555
1100,29.38,0.881167,0.969418,0.5832,0.5736,0.5522,0.5891,0.5794,319.37,2447221593600.0,0.55
1200,31.03,0.791318,0.964882,0.5841,0.5719,0.552,0.5874,0.5762,348.51,2669767488000.0,0.558
1300,35.53,0.949478,0.960345,0.5905,0.58,0.5658,0.5946,0.5797,377.62,2892248179200.0,0.548
1400,28.78,1.011453,0.955883,0.5909,0.5882,0.5806,0.6022,0.5819,406.61,3114758246400.0,0.557
1500,37.88,1.027563,0.951973,0.5924,0.5929,0.5865,0.6081,0.5842,435.59,3337216588800.0,0.555
1600,34.53,1.009415,0.949165,0.5959,0.597,0.5854,0.6161,0.5895,464.58,3559813171200.0,0.558
1700,35.56,0.879632,0.948054,0.5984,0.5974,0.5825,0.6183,0.5914,493.58,3782283609600.0,0.555
1800,29.81,0.847145,0.947071,0.5977,0.5973,0.5814,0.6178,0.5928,522.71,4004808537600.0,0.555
1900,29.97,1.015851,0.945026,0.5996,0.5954,0.5787,0.6157,0.5919,551.83,4227342796800.0,0.558
2000,30.69,0.877345,0.942894,0.6015,0.5977,0.5815,0.6165,0.595,580.98,4449725740800.0,0.558
2100,29.97,1.119436,0.94118,0.6019,0.5978,0.5788,0.6198,0.5947,610.24,4672197676800.0,0.557
2200,33.56,0.765514,0.939499,0.602,0.5987,0.5795,0.6192,0.5976,639.68,4894613222400.0,0.558
2300,28.03,1.005302,0.938764,0.6005,0.6,0.5814,0.6186,0.5999,668.66,5117062867200.0,0.558
2400,27.03,0.833312,0.938027,0.6024,0.6009,0.5805,0.6193,0.6029,697.62,5339495520000.0,0.548
2500,30.56,0.927004,0.937118,0.6015,0.6007,0.5791,0.6174,0.6055,726.61,5562012211200.0,0.558
