step,mean_features,mean_context,train_loss,val_loss,val_acc,val_auc,val_auc_easy,val_auc_medium,val_auc_hard,cum_time_s,cum_flops,peak_gpu_gb
100,15.94,101.66,1.165177,1.061749,0.5571,0.4966,0.5043,0.4687,0.5167,57.22,5561546572800.0,0.257
200,16.66,99.44,1.076646,1.032402,0.5638,0.5353,0.5046,0.5493,0.5519,114.37,11203638163200.0,0.26
300,15.72,96.0,1.059207,1.017574,0.571,0.556,0.5219,0.5696,0.5766,171.4,16735684147200.0,0.258
400,16.16,97.88,1.036568,1.002138,0.579,0.5702,0.5597,0.5694,0.5814,228.14,22275637632000.0,0.258
500,16.75,108.97,0.957386,0.990837,0.5842,0.5793,0.5754,0.5784,0.5843,284.79,27893613081600.0,0.257
600,15.12,98.16,1.0225,0.983611,0.5946,0.581,0.5889,0.5714,0.5827,341.63,33443639078400.0,0.257
700,15.41,92.47,0.899032,0.97821,0.5945,0.5822,0.5871,0.5821,0.5773,398.58,39043037836800.0,0.256
800,12.75,98.91,0.915276,0.974031,0.5949,0.5838,0.5871,0.5823,0.5821,458.03,44647540934400.0,0.257
900,15.91,108.22,0.91419,0.971332,0.5945,0.5878,0.5892,0.5948,0.5796,515.6,50194184716800.0,0.253
1000,14.31,86.56,0.998093,0.968213,0.5922,0.5929,0.593,0.6046,0.5811,573.16,55791226656000.0,0.257
1100,12.41,112.91,1.113964,0.96602,0.5952,0.5951,0.5935,0.6109,0.581,630.6,61395677568000.0,0.257
1200,15.88,96.22,0.871374,0.962669,0.597,0.596,0.5947,0.6172,0.5761,687.09,67042424736000.0,0.253
1300,32.0,87.91,0.881611,0.960301,0.5973,0.5934,0.5896,0.615,0.5757,748.8,77851431936000.0,0.281
1400,34.0,96.56,1.111908,0.958962,0.6,0.5928,0.5892,0.6173,0.5719,813.95,89491729651200.0,0.295
1500,37.0,91.09,0.822427,0.958443,0.5992,0.5957,0.5972,0.6248,0.5651,882.84,101974074854400.0,0.317
1600,39.0,97.44,0.994685,0.958667,0.5994,0.5989,0.6018,0.6259,0.569,955.73,115348120588800.0,0.337
1700,41.0,110.84,0.879973,0.95843,0.6005,0.5989,0.6019,0.6249,0.5699,1033.45,129554861529600.0,0.35
1800,44.0,103.56,1.074516,0.95741,0.6006,0.5969,0.6,0.6222,0.5685,1115.1,144610276320000.0,0.377
1900,46.0,95.31,1.124291,0.956231,0.6016,0.5951,0.5974,0.6216,0.5664,1201.11,160577556019200.0,0.394
2000,48.0,109.62,1.079097,0.956066,0.6027,0.5905,0.5876,0.6193,0.5646,1290.38,177396873984000.0,0.409
2100,51.0,109.53,0.918756,0.956113,0.605,0.5887,0.5838,0.6181,0.5641,1384.56,195096559910400.0,0.439
2200,53.0,108.97,0.976465,0.954788,0.6044,0.5881,0.5823,0.6162,0.5658,1483.3,213700613817600.0,0.45
2300,55.0,96.38,0.821979,0.953874,0.6037,0.5867,0.5839,0.6096,0.5664,1585.85,233185334112000.0,0.469
2400,58.0,103.06,1.014188,0.952717,0.604,0.5876,0.5824,0.6135,0.5668,1693.54,253590593356800.0,0.492
2500,58.78,86.38,0.900806,0.951677,0.6025,0.5885,0.5872,0.6108,0.5675,1805.61,274901204678400.0,0.509
