step,mean_features,mean_context,train_loss,val_loss,val_acc,val_auc,val_auc_easy,val_auc_medium,val_auc_hard,cum_time_s,cum_flops,peak_gpu_gb
100,3.03,103.62,0.928411,1.107871,0.554,0.511,0.5081,0.5048,0.5201,162.7,1155738412800.0,0.063
200,4.47,95.12,1.026906,1.049546,0.5632,0.536,0.5663,0.5276,0.5141,315.77,2696529657600.0,0.102
300,6.06,99.16,0.986292,1.01912,0.5755,0.5408,0.569,0.5286,0.5247,491.85,4629914035200.0,0.102
400,6.5,114.47,0.89925,1.007497,0.5774,0.5522,0.5779,0.5386,0.5402,658.12,6954132960000.0,0.116
500,8.22,105.56,0.888945,0.997611,0.5806,0.5564,0.5856,0.5453,0.5383,832.61,9653382662400.0,0.132
600,7.97,88.56,0.976146,0.990313,0.5804,0.5595,0.5842,0.5481,0.5462,1005.55,12751970054400.0,0.149
700,9.0,95.03,0.794524,0.985766,0.5827,0.5625,0.5904,0.5488,0.5483,1179.07,16220129299200.0,0.167
800,12.16,107.84,0.803576,0.982909,0.585,0.5645,0.5918,0.5548,0.5471,1351.58,20114246937600.0,0.187
900,11.91,92.56,0.871046,0.979162,0.5891,0.5666,0.6027,0.555,0.5421,1530.06,24387364396800.0,0.21
1000,15.38,88.62,0.777199,0.975148,0.5901,0.5666,0.6112,0.5514,0.5373,1707.85,28963085414400.0,0.224
1100,15.09,95.72,1.080985,0.972497,0.5888,0.5642,0.6095,0.5527,0.5304,1887.16,34092048268800.0,0.241
1200,16.56,101.22,1.104611,0.969546,0.5888,0.5635,0.6079,0.5505,0.532,2071.71,39536814528000.0,0.258
1300,18.56,96.72,0.934105,0.966495,0.588,0.5703,0.6109,0.5596,0.5406,2255.2,45362509920000.0,0.277
1400,18.94,105.72,0.844053,0.962126,0.5923,0.5778,0.6121,0.5806,0.5406,2451.73,51630615302400.0,0.29
1500,16.16,94.0,0.815809,0.95554,0.5988,0.584,0.6171,0.5944,0.5407,2642.42,58314392467200.0,0.309
1600,17.31,93.0,0.99501,0.950739,0.6027,0.5918,0.6204,0.6039,0.5511,2836.98,65341968019200.0,0.331
1700,24.47,106.22,0.982345,0.94695,0.6021,0.5953,0.6228,0.6054,0.5577,3033.52,72791846035200.0,0.351
1800,23.22,113.22,0.933132,0.94447,0.6025,0.5973,0.6211,0.608,0.5629,3234.18,80721162489600.0,0.367
1900,27.75,108.72,0.95266,0.94349,0.6041,0.6024,0.6205,0.6116,0.5753,3434.91,88984520697600.0,0.382
2000,21.75,97.72,0.76288,0.942794,0.6061,0.6038,0.6186,0.6127,0.5802,3637.95,97622610048000.0,0.393
2100,24.56,81.03,0.999873,0.941355,0.6064,0.6062,0.6173,0.619,0.5823,3849.2,106780122374400.0,0.414
2200,24.25,95.41,0.829803,0.940643,0.6064,0.6087,0.6229,0.6179,0.5852,4064.68,116280292780800.0,0.429
2300,24.78,97.62,0.895557,0.9405,0.6053,0.6082,0.6212,0.6202,0.5833,4279.01,126455167008000.0,0.459
2400,33.53,83.84,0.954611,0.939521,0.6071,0.6102,0.6237,0.6244,0.5824,4490.82,136966419936000.0,0.475
2500,32.56,94.06,0.832154,0.938963,0.6072,0.6123,0.6258,0.6255,0.5855,4708.21,147692815948800.0,0.496
