step,mean_features,mean_context,train_loss,val_loss,val_acc,val_auc,val_auc_easy,val_auc_medium,val_auc_hard,cum_time_s,cum_flops,peak_gpu_gb
100,31.38,98.09,0.956987,1.071536,0.5444,0.5119,0.5082,0.4967,0.5307,182.2,10956485088000.0,0.491
200,37.56,103.53,1.091481,1.039217,0.5584,0.5205,0.5071,0.5128,0.5416,384.89,22001904460800.0,0.494
300,30.84,95.47,1.112531,1.024494,0.5734,0.5317,0.5259,0.5211,0.548,607.87,33059984544000.0,0.505
400,29.0,101.97,1.067105,1.014084,0.5777,0.53,0.5296,0.5155,0.5448,827.81,43976148652800.0,0.499
500,32.78,101.75,1.02762,1.007263,0.5751,0.5315,0.5272,0.5114,0.556,1050.68,54976267296000.0,0.501
600,25.22,85.06,0.999796,1.003497,0.5749,0.536,0.5327,0.5149,0.5604,1272.65,66131318764800.0,0.505
700,31.03,102.41,1.080113,0.997926,0.5777,0.562,0.5654,0.5648,0.5559,1483.36,77192547609600.0,0.505
800,32.75,106.81,0.909113,0.98657,0.5814,0.5828,0.5796,0.6094,0.5595,1702.01,88296444576000.0,0.499
900,29.59,101.94,0.978952,0.975455,0.5897,0.5901,0.5925,0.6116,0.5662,1916.92,99171944006400.0,0.494
1000,28.72,96.38,0.896658,0.970276,0.5967,0.5938,0.5986,0.614,0.5687,2135.49,110135606860800.0,0.505
1100,31.56,97.06,0.85361,0.965412,0.596,0.5976,0.5999,0.6199,0.5728,2358.18,120994382707200.0,0.509
1200,30.56,89.56,0.956205,0.962218,0.5971,0.5999,0.5999,0.6224,0.5773,2577.61,131881782528000.0,0.497
1300,30.25,100.03,1.152545,0.960709,0.5992,0.6022,0.6035,0.6249,0.5783,2792.61,142824574425600.0,0.509
1400,28.34,97.62,0.886156,0.959419,0.5991,0.6019,0.6051,0.6226,0.578,3006.94,153943760044800.0,0.505
1500,31.38,98.12,0.980473,0.958298,0.5994,0.5997,0.603,0.6206,0.5756,3224.65,165014150227200.0,0.509
1600,36.59,102.97,0.969149,0.957411,0.598,0.6007,0.6048,0.6235,0.5737,3442.08,175997109484800.0,0.509
1700,31.59,99.69,1.135912,0.95583,0.601,0.6031,0.6082,0.627,0.5743,3657.11,187064363174400.0,0.505
1800,25.69,100.91,1.061321,0.953992,0.6025,0.6042,0.6102,0.628,0.5746,3860.77,198175215859200.0,0.497
1900,27.34,90.69,0.909817,0.952838,0.6021,0.6025,0.6048,0.6286,0.574,4063.16,209162831385600.0,0.505
2000,31.22,107.19,0.863177,0.952213,0.6019,0.6028,0.6046,0.6307,0.573,4258.53,220200856819200.0,0.498
2100,30.94,104.16,0.80301,0.95154,0.6026,0.6049,0.6057,0.6325,0.5765,4456.4,231187877222400.0,0.496
2200,31.66,94.0,0.828711,0.950989,0.6029,0.6071,0.6076,0.6327,0.5811,4659.39,242126694547200.0,0.505
2300,30.16,85.38,1.046599,0.949984,0.6023,0.6077,0.6085,0.6327,0.582,4859.46,253194880320000.0,0.508
2400,31.16,110.78,0.890388,0.948807,0.6027,0.6096,0.6082,0.6361,0.5845,5060.9,264191883724800.0,0.509
2500,34.03,99.03,0.908582,0.947254,0.6028,0.6096,0.609,0.6346,0.5853,5270.74,275084661772800.0,0.508
