step,mean_features,mean_context,train_loss,val_loss,val_acc,val_auc,val_auc_easy,val_auc_medium,val_auc_hard,cum_time_s,cum_flops,peak_gpu_gb
100,2.94,94.44,1.043617,1.093507,0.5409,0.5269,0.5225,0.5365,0.5216,155.22,1159632288000.0,0.063
200,5.22,95.19,1.013673,1.054136,0.5512,0.5351,0.5299,0.5496,0.5258,305.86,2693340633600.0,0.102
300,5.41,94.53,1.022194,1.039485,0.5577,0.5688,0.5712,0.5601,0.5751,458.86,4643839123200.0,0.102
400,6.69,110.66,0.863447,1.000973,0.5872,0.5913,0.6019,0.5963,0.5756,624.11,6957548179200.0,0.115
500,7.88,87.34,0.908129,0.987633,0.5947,0.5952,0.61,0.6076,0.5681,789.9,9617015174400.0,0.128
600,8.75,105.44,0.855852,0.977915,0.5927,0.5892,0.6036,0.5986,0.5653,954.03,12704436057600.0,0.151
700,10.66,88.97,1.150497,0.971519,0.5988,0.5978,0.6061,0.6155,0.5717,1123.09,16192663948800.0,0.171
800,11.06,85.06,1.04276,0.964383,0.601,0.5991,0.6067,0.6195,0.5713,1288.59,20083790073600.0,0.191
900,12.03,113.28,0.782763,0.960814,0.6012,0.6023,0.6147,0.6225,0.5697,1464.43,24331548614400.0,0.2
1000,12.06,87.28,1.073772,0.959621,0.5972,0.6031,0.6126,0.6274,0.5692,1639.71,28991650118400.0,0.216
1100,14.75,104.78,1.012166,0.957876,0.5953,0.6038,0.6167,0.6249,0.5699,1817.08,34127417836800.0,0.236
1200,16.28,85.53,0.976247,0.956314,0.5991,0.6035,0.6176,0.6248,0.5681,2003.69,39499183008000.0,0.262
1300,14.47,94.59,0.659394,0.953428,0.6028,0.6054,0.6182,0.6243,0.5737,2196.23,45343145260800.0,0.272
1400,16.97,88.25,0.932329,0.951192,0.6055,0.6051,0.6194,0.6209,0.5749,2388.18,51649889414400.0,0.286
1500,20.38,109.09,0.841949,0.94843,0.6049,0.609,0.6273,0.6213,0.5784,2566.41,58436810899200.0,0.317
1600,22.28,93.09,0.867733,0.947761,0.6062,0.613,0.6316,0.6276,0.5796,2725.5,65459403072000.0,0.33
1700,20.41,91.31,0.933886,0.946645,0.6064,0.6138,0.6289,0.6297,0.5828,2886.06,72955770854400.0,0.346
1800,24.81,91.81,0.847329,0.9452,0.6072,0.6152,0.629,0.6308,0.5858,3048.82,80916426662400.0,0.363
1900,21.41,91.09,1.127431,0.944584,0.6081,0.6165,0.6316,0.6321,0.5858,3215.08,89298115545600.0,0.386
2000,27.84,106.34,0.952109,0.943733,0.606,0.6159,0.6296,0.633,0.5852,3379.36,98036412134400.0,0.407
2100,23.38,102.09,0.857754,0.94313,0.6057,0.6161,0.6279,0.6334,0.5869,3546.84,107308601107200.0,0.425
2200,27.19,103.75,0.662198,0.942082,0.6076,0.6145,0.6212,0.6359,0.5865,3715.18,117004977446400.0,0.445
2300,29.03,106.53,0.932038,0.941256,0.6064,0.6136,0.623,0.6351,0.5825,3883.03,126906608736000.0,0.457
2400,34.44,105.47,0.921172,0.940469,0.6075,0.614,0.6249,0.6357,0.5814,4054.85,137283008371200.0,0.475
2500,35.22,101.19,0.9736,0.939563,0.6073,0.6144,0.6236,0.6372,0.5824,4230.96,148183190035200.0,0.492
