step,interval_time_s,cum_time_s,loss,gpu_mem_gb
100,40.801,40.801,0.515330,1.663
200,37.659,78.460,0.486592,1.669
300,43.135,121.595,0.489673,1.647
400,35.399,156.994,0.493642,1.655
500,47.694,204.688,0.474470,1.669
600,37.091,241.779,0.483637,1.670
700,34.122,275.901,0.477914,1.655
800,35.669,311.570,0.483784,1.655
900,71.695,383.265,0.472113,1.670
1000,64.481,447.746,0.477830,1.663
1100,33.405,481.151,0.483776,1.665
1200,35.686,516.837,0.481485,1.678
1300,31.970,548.806,0.478990,1.642
1400,34.065,582.871,0.478189,1.685
1500,35.961,618.832,0.478034,1.670
1600,37.946,656.778,0.473604,1.678
1700,36.413,693.191,0.465845,1.678
1800,36.746,729.937,0.470396,1.678
1900,36.920,766.857,0.456317,1.678
2000,35.684,802.540,0.461356,1.678
2100,37.332,839.872,0.462451,1.678
2200,35.200,875.073,0.455867,1.678
2300,35.224,910.296,0.462928,1.678
2400,34.054,944.350,0.448273,1.678
2500,34.493,978.844,0.454893,1.678
