step,mean_features,mean_classes,mean_context,train_loss,val_loss,val_acc,val_auc,val_auc_easy,val_auc_medium,val_auc_hard,cum_time_s,cum_flops,peak_gpu_gb
100,32.69,3.56,173.0,1.03729,0.963298,0.603,0.4916,0.4941,0.4848,0.496,29.97,222483283200.0,0.558
200,28.91,4.56,167.0,1.190525,0.943849,0.6099,0.5146,0.5185,0.53,0.4952,59.05,444952339200.0,0.546
300,26.88,3.56,160.0,0.926632,0.934097,0.6098,0.5251,0.5164,0.5481,0.5108,88.19,667384704000.0,0.535
400,33.78,3.03,154.0,0.769934,0.929912,0.6103,0.5317,0.5304,0.5521,0.5126,117.9,889895174400.0,0.52
500,27.25,3.72,147.0,0.918929,0.924149,0.6137,0.5329,0.5415,0.5481,0.5091,146.99,1112392972800.0,0.509
600,31.12,3.72,141.0,0.901048,0.919437,0.6163,0.5373,0.5485,0.5469,0.5164,175.74,1334857363200.0,0.5
700,31.81,3.94,134.0,1.062924,0.915981,0.6169,0.5375,0.5449,0.549,0.5187,204.49,1557373420800.0,0.493
800,32.12,3.34,128.0,0.837255,0.912216,0.6159,0.5363,0.5401,0.5512,0.5174,233.26,1779787929600.0,0.489
900,28.5,4.0,122.0,0.953815,0.910326,0.6151,0.5355,0.5389,0.5442,0.5235,262.04,2002286016000.0,0.483
1000,28.22,4.06,115.0,0.945607,0.910459,0.6164,0.5369,0.5344,0.5566,0.5197,291.61,2224717920000.0,0.475
1100,29.25,3.81,109.0,0.973758,0.911269,0.6129,0.5375,0.5361,0.5599,0.5166,320.75,2447138419200.0,0.468
1200,28.72,4.16,103.0,1.014805,0.91087,0.6129,0.5361,0.5383,0.5504,0.5197,349.49,2669602233600.0,0.461
1300,32.06,4.31,96.0,1.030401,0.908365,0.6148,0.539,0.5474,0.5516,0.5181,378.19,2892052281600.0,0.458
1400,30.78,3.88,90.0,0.944288,0.905174,0.6164,0.5485,0.5639,0.5637,0.5179,406.9,3114523929600.0,0.451
1500,29.38,3.47,83.0,0.884351,0.903021,0.6173,0.5505,0.5706,0.5657,0.5152,435.67,3336998572800.0,0.45
1600,31.72,3.22,77.0,0.744522,0.902002,0.6182,0.5526,0.5721,0.566,0.5198,464.41,3559418553600.0,0.441
1700,26.38,3.34,71.0,0.792736,0.901136,0.6194,0.5539,0.5734,0.5718,0.5165,493.13,3781942444800.0,0.436
1800,29.81,4.19,64.0,0.988675,0.901214,0.6182,0.5538,0.5785,0.5701,0.5129,521.85,4004537587200.0,0.431
1900,32.5,3.5,58.0,0.856287,0.900705,0.6162,0.554,0.5845,0.5648,0.5127,550.82,4227022483200.0,0.429
2000,26.59,4.19,51.0,1.009848,0.899895,0.6162,0.5536,0.5877,0.5629,0.51,580.05,4449569472000.0,0.427
2100,28.47,3.78,45.0,0.866389,0.899102,0.6165,0.5579,0.5917,0.5683,0.5136,609.08,4672051027200.0,0.422
2200,36.5,3.28,39.0,0.99857,0.89628,0.6182,0.5624,0.6009,0.568,0.5183,638.39,4894615756800.0,0.408
2300,26.84,3.75,32.0,0.869854,0.895052,0.6219,0.571,0.6089,0.5746,0.5295,667.34,5117073523200.0,0.401
2400,29.12,4.25,26.0,1.018337,0.895027,0.6222,0.5793,0.6167,0.5852,0.536,696.12,5339468736000.0,0.395
2500,36.78,4.34,20.0,1.105729,0.894927,0.6226,0.5791,0.6153,0.586,0.5359,725.46,5562012211200.0,0.389
