step,mean_features,mean_context,train_loss,val_loss,val_acc,val_auc,val_auc_easy,val_auc_medium,val_auc_hard,cum_time_s,cum_flops,peak_gpu_gb
100,28.94,100.69,1.186282,1.070531,0.5427,0.5005,0.4923,0.4867,0.5225,65.45,9648664185600.0,0.447
200,25.16,99.97,0.942015,1.043698,0.5631,0.5214,0.5175,0.5119,0.5349,130.86,19409813049600.0,0.44
300,27.72,106.31,1.230863,1.022188,0.5677,0.5239,0.499,0.5193,0.5535,195.98,29067505344000.0,0.448
400,27.03,91.41,0.933997,1.008805,0.5738,0.5463,0.5291,0.5512,0.5585,261.28,38844244569600.0,0.447
500,25.56,117.53,0.876223,0.99993,0.5772,0.5679,0.5574,0.5727,0.5735,327.14,48535215724800.0,0.451
600,28.72,102.34,0.959287,0.988041,0.5867,0.5718,0.5502,0.5933,0.572,392.39,58308904339200.0,0.451
700,29.22,110.41,1.074428,0.980013,0.5899,0.5762,0.5673,0.5946,0.5666,457.81,67928104569600.0,0.444
800,29.28,86.94,0.957658,0.974771,0.5943,0.5857,0.5812,0.6042,0.5716,523.07,77567558169600.0,0.447
900,28.59,101.88,0.697403,0.969668,0.5955,0.589,0.5771,0.6109,0.579,588.56,87374465510400.0,0.447
1000,25.38,88.62,0.927967,0.965528,0.5973,0.5915,0.5771,0.6186,0.5787,653.36,96994775635200.0,0.442
1100,27.59,85.84,1.116184,0.963007,0.5981,0.5906,0.5793,0.6172,0.5754,718.56,106556264640000.0,0.448
1200,25.28,114.5,0.957849,0.962143,0.5991,0.5916,0.5848,0.618,0.5719,784.62,116295187276800.0,0.447
1300,25.59,104.97,1.024122,0.960681,0.5971,0.5916,0.5877,0.6139,0.5734,850.31,126105236294400.0,0.447
1400,24.03,105.59,0.922774,0.958394,0.5992,0.5933,0.5939,0.6122,0.5737,915.71,135893425766400.0,0.447
1500,28.0,111.22,0.94379,0.955883,0.5997,0.5955,0.5994,0.6109,0.5764,980.91,145549010073600.0,0.444
1600,26.22,96.47,0.878323,0.953819,0.5996,0.596,0.5966,0.6141,0.5772,1046.03,155203164288000.0,0.446
1700,27.5,103.28,1.11252,0.952494,0.6005,0.5957,0.5934,0.6143,0.5792,1111.47,164993164185600.0,0.451
1800,26.59,100.78,0.801435,0.950586,0.602,0.5967,0.5949,0.6184,0.5767,1175.99,174668298912000.0,0.448
1900,26.72,98.59,0.97582,0.949051,0.6033,0.5987,0.5986,0.6187,0.5789,1240.87,184307381337600.0,0.443
2000,30.34,107.47,0.711914,0.946922,0.6037,0.5992,0.5969,0.6241,0.5767,1306.44,194160887654400.0,0.447
2100,25.75,96.25,0.944554,0.945766,0.6028,0.6012,0.6005,0.6279,0.5754,1371.56,203972799974400.0,0.446
2200,25.28,86.25,1.016194,0.944246,0.605,0.6021,0.6038,0.6286,0.574,1436.44,213700613817600.0,0.447
2300,55.0,96.38,0.821425,0.943215,0.6043,0.6033,0.608,0.6263,0.5757,1538.92,233185334112000.0,0.471
2400,58.0,103.06,1.016365,0.942439,0.6047,0.6061,0.6104,0.6293,0.5785,1646.43,253590593356800.0,0.492
2500,59.22,83.5,0.844997,0.941328,0.6065,0.6082,0.6115,0.632,0.5812,1758.44,274902757804800.0,0.512
