step,interval_time_s,cum_time_s,loss,gpu_mem_gb
100,32.861,32.861,0.709171,0.311
200,31.455,64.316,0.684012,0.329
300,33.183,97.500,0.693526,0.329
400,32.359,129.858,0.693580,0.329
500,32.335,162.193,0.693445,0.329
600,32.256,194.449,0.696964,0.312
700,34.590,229.038,0.681539,0.331
800,36.610,265.648,0.682202,0.331
900,33.623,299.271,0.693545,0.331
1000,34.118,333.388,0.686131,0.331
1100,33.387,366.775,0.679093,0.312
1200,33.433,400.208,0.656752,0.331
1300,35.843,436.052,0.673782,0.331
1400,33.550,469.601,0.677643,0.331
1500,34.125,503.727,0.689456,0.331
1600,31.700,535.427,0.693403,0.312
1700,33.745,569.172,0.693438,0.331
1800,37.898,607.070,0.693634,0.331
1900,36.140,643.210,0.693598,0.331
2000,35.895,679.105,0.693244,0.331
2100,33.070,712.175,0.693153,0.312
2200,34.309,746.484,0.693058,0.331
2300,36.451,782.935,0.693015,0.331
2400,32.997,815.932,0.693649,0.331
2500,34.813,850.746,0.693210,0.331
