step,mean_features,mean_context,train_loss,val_loss,val_acc,val_auc,val_auc_easy,val_auc_medium,val_auc_hard,cum_time_s,cum_flops,peak_gpu_gb
100,4.0,95.84,1.002408,1.132041,0.534,0.5007,0.5091,0.4927,0.5003,55.78,1340560281600.0,0.063
200,7.0,91.62,0.902091,1.095147,0.5461,0.5251,0.517,0.5243,0.5339,111.05,3428892345600.0,0.102
300,9.0,86.41,1.132946,1.098129,0.5486,0.5393,0.5275,0.5346,0.5556,166.96,6289114406400.0,0.102
400,11.0,101.84,0.915608,1.08206,0.5546,0.5502,0.554,0.5447,0.5518,223.22,9891698400000.0,0.116
500,13.0,101.72,0.916196,1.078742,0.5629,0.5619,0.5587,0.5567,0.5704,279.43,14256157939200.0,0.133
600,16.0,112.12,0.863856,1.049038,0.5753,0.5721,0.5839,0.5672,0.5651,335.37,19410829286400.0,0.156
700,18.0,90.16,1.005115,1.024747,0.5841,0.5882,0.6052,0.5884,0.571,391.43,25348161600000.0,0.172
800,20.0,92.94,0.982279,1.024291,0.5867,0.5811,0.5927,0.5843,0.5663,447.57,32060141798400.0,0.187
900,23.0,108.34,0.985096,1.02419,0.5901,0.5897,0.6014,0.5904,0.5773,502.91,39598467148800.0,0.21
1000,25.0,90.06,0.909823,1.01875,0.5879,0.5918,0.6006,0.5972,0.5775,558.87,47957551027200.0,0.225
1100,27.0,109.84,0.91059,1.020244,0.5887,0.5953,0.6036,0.6029,0.5795,616.6,57093271718400.0,0.242
1200,30.0,93.47,0.762556,1.024103,0.5862,0.5935,0.5987,0.6075,0.5744,675.41,67042424736000.0,0.259
1300,32.0,87.91,0.88843,1.016227,0.5881,0.5935,0.5966,0.61,0.5738,736.45,77851431936000.0,0.28
1400,34.0,96.56,1.109727,1.014249,0.5892,0.5963,0.6026,0.6135,0.573,800.71,89491729651200.0,0.296
1500,37.0,91.09,0.822436,1.017367,0.5866,0.5973,0.6041,0.6108,0.577,868.22,101974074854400.0,0.32
1600,39.0,97.44,0.97988,1.018816,0.5884,0.5961,0.6017,0.6095,0.5773,939.56,115348120588800.0,0.337
1700,41.0,110.84,0.875361,1.019559,0.5881,0.5952,0.5989,0.6076,0.579,1015.55,129554861529600.0,0.35
1800,44.09,103.88,1.083304,1.019424,0.5881,0.5952,0.5971,0.6078,0.5807,1095.58,144610627276800.0,0.375
1900,51.16,104.19,0.874994,1.018754,0.586,0.598,0.5998,0.6149,0.5792,1192.13,163211647852800.0,0.505
2000,51.16,99.03,1.087769,1.016214,0.5858,0.6,0.6006,0.6204,0.5788,1288.65,181844177644800.0,0.505
2100,53.22,77.19,1.114532,1.013529,0.5864,0.6005,0.5981,0.6218,0.5816,1384.65,200456860320000.0,0.505
2200,52.94,100.97,0.793672,1.016098,0.5841,0.6008,0.5954,0.6239,0.583,1480.57,219061253779200.0,0.51
2300,52.94,94.62,1.209635,1.01625,0.5857,0.6013,0.5944,0.6247,0.5849,1576.54,237694614566400.0,0.51
2400,52.97,89.09,0.733,1.014461,0.5888,0.6021,0.5941,0.6274,0.5849,1672.23,256278798547200.0,0.505
2500,49.72,99.06,0.680873,1.013537,0.5914,0.6009,0.5908,0.627,0.585,1767.65,274899103430400.0,0.505
