step,mean_features,mean_classes,train_loss,val_loss,val_acc,val_auc,val_auc_easy,val_auc_medium,val_auc_hard,cum_time_s,cum_flops,peak_gpu_gb
100,32.0,2.0,0.477599,2.595538,0.5475,0.5148,0.511,0.5357,0.4978,29.55,222468998400.0,0.558
200,32.34,2.0,0.51668,2.672408,0.5489,0.5187,0.5082,0.5395,0.5084,58.01,444947558400.0,0.558
300,29.97,2.0,0.548215,2.654251,0.5503,0.5279,0.5306,0.5376,0.5156,86.49,667454457600.0,0.555
400,32.56,2.0,0.471868,2.861721,0.5551,0.525,0.5333,0.5325,0.5092,114.97,889897075200.0,0.558
500,36.44,2.0,0.516963,2.92675,0.5548,0.5286,0.5323,0.5462,0.5074,143.41,1112439974400.0,0.558
600,31.97,2.0,0.540873,2.958339,0.5562,0.5298,0.543,0.542,0.5043,171.85,1334922336000.0,0.555
700,28.94,2.0,0.44114,3.06432,0.5578,0.5362,0.5502,0.5483,0.51,200.32,1557436838400.0,0.555
800,31.62,2.0,0.523256,3.134939,0.5589,0.5409,0.5608,0.5489,0.5128,228.77,1779967584000.0,0.548
900,29.91,2.0,0.49639,3.546811,0.5593,0.5335,0.5656,0.5336,0.5015,257.22,2002309689600.0,0.55
1000,27.91,2.0,0.490413,3.527157,0.5571,0.5367,0.563,0.5364,0.5107,285.66,2224812787200.0,0.558
1100,33.69,2.0,0.498192,3.40412,0.5588,0.5355,0.5556,0.5309,0.5199,314.11,2447400614400.0,0.558
1200,29.12,2.0,0.484434,3.466408,0.5579,0.5382,0.5654,0.5273,0.5219,342.59,2669935564800.0,0.555
1300,30.47,2.0,0.469985,3.59764,0.5578,0.5326,0.5573,0.5238,0.5167,371.1,2892326803200.0,0.558
1400,29.94,2.06,0.659829,3.651137,0.5595,0.5289,0.5643,0.509,0.5134,399.59,3114773280000.0,0.548
1500,32.47,3.0,0.852672,1.783625,0.5651,0.5333,0.5781,0.5067,0.5152,428.08,3337222464000.0,0.543
1600,24.91,4.0,1.39584,1.592339,0.5832,0.54,0.5561,0.5285,0.5353,456.55,3559689216000.0,0.558
1700,29.91,4.0,1.063989,1.333685,0.5935,0.532,0.5565,0.5172,0.5222,485.03,3782143180800.0,0.555
1800,30.34,5.0,1.358562,1.250048,0.5934,0.5376,0.5575,0.5473,0.5081,513.51,4004688787200.0,0.558
1900,38.72,6.0,1.663828,1.246542,0.5962,0.5462,0.5682,0.5615,0.5088,541.99,4227193382400.0,0.555
2000,30.0,6.0,1.58152,1.213242,0.5972,0.5475,0.5701,0.5546,0.5177,570.52,4449651091200.0,0.558
2100,35.19,7.0,1.730296,1.160011,0.5945,0.5439,0.5635,0.5517,0.5166,599.09,4672087142400.0,0.551
2200,35.69,8.0,1.935585,1.117791,0.5936,0.5455,0.5699,0.5497,0.5169,628.05,4894672089600.0,0.554
2300,34.31,9.0,2.152463,1.072924,0.6013,0.5419,0.5732,0.5368,0.5157,656.5,5117079974400.0,0.558
2400,32.16,9.0,2.023276,1.047473,0.6096,0.5365,0.5647,0.5321,0.5128,684.99,5339542694400.0,0.543
2500,29.16,10.0,2.158963,1.040689,0.6108,0.5325,0.5623,0.5135,0.5216,713.48,5562012211200.0,0.548
