step,interval_time_s,cum_time_s,loss,gpu_mem_gb
100,35.600,35.600,0.509274,1.317
200,36.605,72.205,0.483547,1.344
300,35.198,107.403,0.487647,1.338
400,36.314,143.716,0.486075,1.319
500,52.158,195.874,0.462192,1.338
600,30.124,225.998,0.468158,1.346
700,28.934,254.932,0.455960,1.346
800,29.327,284.259,0.458079,1.332
900,68.896,353.155,0.462302,1.346
1000,51.764,404.918,0.463316,1.339
1100,33.530,438.448,0.456504,1.339
1200,32.433,470.881,0.453001,1.339
1300,34.164,505.045,0.451705,1.346
1400,32.902,537.947,0.456410,1.333
1500,35.775,573.722,0.464149,1.339
1600,34.141,607.863,0.448740,1.346
1700,35.459,643.322,0.445496,1.321
1800,34.461,677.783,0.457600,1.346
1900,36.161,713.944,0.450260,1.321
2000,34.746,748.690,0.444654,1.339
2100,34.659,783.349,0.446928,1.346
2200,34.958,818.308,0.443450,1.321
2300,33.880,852.188,0.455930,1.346
2400,33.997,886.185,0.448721,1.321
2500,32.708,918.893,0.443253,1.339
