step,mean_features,train_loss,val_loss,val_acc,val_auc,val_auc_easy,val_auc_medium,val_auc_hard,cum_time_s,cum_flops,peak_gpu_gb
100,4.0,0.877917,1.026934,0.567,0.5245,0.5469,0.5306,0.4961,28.32,217340294400.0,0.114
200,7.0,1.026299,0.986541,0.5828,0.5261,0.524,0.5464,0.5079,56.58,435111724800.0,0.15
300,9.0,0.958449,0.96079,0.592,0.5244,0.5295,0.5467,0.497,84.74,653305132800.0,0.152
400,11.0,0.987758,0.944068,0.5899,0.5405,0.5427,0.5463,0.5326,112.98,871915219200.0,0.166
500,14.0,1.000665,0.920275,0.6132,0.5761,0.577,0.565,0.5863,141.36,1090956787200.0,0.189
600,16.0,1.028629,0.911284,0.6171,0.5744,0.5801,0.5387,0.6044,169.83,1310439859200.0,0.204
700,18.0,0.920833,0.901057,0.6276,0.5783,0.5924,0.5381,0.6045,198.3,1530345024000.0,0.221
800,21.0,1.142571,0.891911,0.6266,0.5797,0.5953,0.5463,0.5976,226.82,1750681900800.0,0.243
900,23.0,1.084639,0.887739,0.6293,0.5805,0.5838,0.5547,0.603,255.34,1971461664000.0,0.26
1000,25.0,0.992879,0.888312,0.6306,0.5881,0.5961,0.5584,0.6098,283.78,2192657241600.0,0.277
1100,28.0,0.903989,0.906991,0.6194,0.5899,0.5919,0.5634,0.6144,312.24,2414281824000.0,0.298
1200,30.0,1.06445,0.91099,0.6156,0.5892,0.5933,0.562,0.6124,340.71,2636338348800.0,0.317
1300,32.0,1.071235,0.92006,0.6112,0.592,0.5962,0.5632,0.6165,369.2,2858811091200.0,0.328
1400,35.0,0.992406,0.920174,0.6118,0.5955,0.6041,0.5655,0.6167,397.73,3081709267200.0,0.354
1500,37.0,1.003671,0.9191,0.6112,0.5974,0.6098,0.5665,0.616,426.26,3305062713600.0,0.369
1600,39.0,0.956806,0.922167,0.6098,0.5981,0.6103,0.5649,0.6193,454.81,3528828921600.0,0.386
1700,42.0,1.054093,0.915661,0.6087,0.5998,0.6122,0.5633,0.6238,483.37,3753018950400.0,0.407
1800,44.0,0.852133,0.901622,0.6182,0.5973,0.6075,0.5651,0.6192,511.96,3977661254400.0,0.427
1900,46.0,0.859783,0.890625,0.6288,0.5985,0.6068,0.5668,0.6218,540.54,4202717702400.0,0.442
2000,48.0,0.847383,0.890712,0.6302,0.5992,0.6112,0.5655,0.6211,569.16,4428190137600.0,0.458
2100,51.0,0.804862,0.891617,0.6287,0.6008,0.6138,0.5671,0.6215,598.22,4654111564800.0,0.491
2200,53.0,0.931986,0.892949,0.6238,0.602,0.6171,0.5662,0.6228,627.43,4880453184000.0,0.501
2300,55.0,0.914999,0.89639,0.6231,0.6016,0.6181,0.5652,0.6216,656.12,5107213440000.0,0.519
2400,58.0,1.054141,0.899239,0.6239,0.6025,0.6173,0.5669,0.6234,685.0,5334401664000.0,0.54
2500,60.0,0.923008,0.901334,0.626,0.6045,0.619,0.5681,0.6264,713.83,5562012211200.0,0.56
