step,mean_features,mean_context,train_loss,val_loss,val_acc,val_auc,val_auc_easy,val_auc_medium,val_auc_hard,cum_time_s,cum_flops,peak_gpu_gb
100,8.62,107.66,1.007586,1.06019,0.5482,0.518,0.5376,0.5168,0.4995,55.61,3360364012800.0,0.157
200,9.72,89.09,0.888294,1.029307,0.5635,0.5146,0.5077,0.5186,0.5174,110.78,6690797683200.0,0.157
300,8.25,99.91,0.732813,1.014916,0.5744,0.5468,0.5626,0.5321,0.5456,166.11,10007044646400.0,0.157
400,9.78,86.91,1.01287,1.007334,0.5698,0.5503,0.562,0.5379,0.551,221.39,13353552000000.0,0.157
500,9.22,99.75,1.067227,0.998777,0.5744,0.5621,0.5847,0.5385,0.563,276.17,16692962284800.0,0.157
600,8.94,114.0,0.902557,0.989309,0.5786,0.5668,0.5855,0.5488,0.5661,330.88,19997185651200.0,0.157
700,24.5,112.0,0.978327,0.983201,0.5849,0.5841,0.6035,0.5698,0.5789,386.9,26996810630400.0,0.27
800,24.53,96.62,0.791678,0.973284,0.5944,0.6005,0.6131,0.5949,0.5934,443.59,35272769241600.0,0.272
900,22.78,91.88,0.785491,0.967956,0.5982,0.6008,0.6179,0.599,0.5857,500.49,43493537433600.0,0.273
1000,22.97,99.09,1.055977,0.964152,0.599,0.5951,0.6077,0.599,0.5787,557.1,51736610131200.0,0.264
1100,23.22,105.75,0.951036,0.961039,0.5998,0.5992,0.6072,0.6029,0.5877,613.98,59968653868800.0,0.273
1200,22.75,103.59,0.706787,0.959218,0.5982,0.6017,0.6087,0.6074,0.5889,671.38,68200583212800.0,0.273
1300,39.19,105.38,0.903529,0.958069,0.5989,0.5986,0.6021,0.6076,0.5859,736.42,79118503833600.0,0.385
1400,38.5,93.06,0.800789,0.957089,0.6017,0.5978,0.5985,0.6108,0.5841,808.19,92561653152000.0,0.385
1500,38.69,78.91,0.953341,0.955565,0.6015,0.5972,0.598,0.6123,0.5815,880.16,106033314470400.0,0.385
1600,37.81,103.41,0.892824,0.953487,0.6013,0.5993,0.6021,0.6128,0.5831,952.31,119523668428800.0,0.385
1700,36.88,105.25,0.977494,0.952243,0.6021,0.6009,0.6076,0.611,0.584,1024.29,132955223212800.0,0.385
1800,38.16,105.28,0.750333,0.951739,0.6009,0.6031,0.6114,0.6134,0.5843,1096.26,146403789465600.0,0.383
1900,53.34,112.0,0.952073,0.950517,0.6016,0.6019,0.6075,0.6145,0.5836,1174.46,161233788729600.0,0.509
2000,51.75,106.84,0.855247,0.949735,0.6013,0.6005,0.6034,0.6133,0.5847,1271.21,180151265721600.0,0.51
2100,53.62,90.78,0.870997,0.948437,0.6027,0.6018,0.6047,0.6143,0.5865,1368.05,199093296729600.0,0.51
2200,53.44,91.62,1.002302,0.947095,0.6023,0.6028,0.6067,0.616,0.5856,1465.26,218107678060800.0,0.505
2300,53.81,96.81,0.815277,0.946194,0.6018,0.6058,0.6108,0.6171,0.5896,1562.01,237049888089600.0,0.51
2400,52.75,93.78,1.024526,0.945212,0.6023,0.6068,0.6131,0.6176,0.5899,1658.91,255920597452800.0,0.505
2500,49.59,93.34,1.040884,0.945183,0.6033,0.6073,0.6145,0.6173,0.5901,1755.89,274900031884800.0,0.505
