step,mean_features,mean_context,train_loss,val_loss,val_acc,val_auc,val_auc_easy,val_auc_medium,val_auc_hard,cum_time_s,cum_flops,peak_gpu_gb
100,14.94,100.88,0.864522,1.060838,0.5524,0.5016,0.4805,0.512,0.5124,56.36,5606248896000.0,0.26
200,17.66,105.81,0.897222,1.034827,0.5586,0.515,0.4891,0.5042,0.5516,112.28,11247341011200.0,0.26
300,17.12,93.88,0.89374,1.020305,0.569,0.5242,0.4917,0.5171,0.5639,168.33,16904672006400.0,0.26
400,15.31,112.56,1.112455,1.009593,0.5745,0.5435,0.5175,0.5447,0.5684,224.67,22484737555200.0,0.26
500,16.62,99.09,0.698114,0.998863,0.5765,0.5736,0.563,0.5874,0.5703,280.88,28088719142400.0,0.264
600,15.75,94.16,0.979965,0.989468,0.5859,0.5702,0.5661,0.5867,0.5577,338.13,33682448851200.0,0.259
700,18.47,112.06,0.700682,0.984191,0.5881,0.5726,0.5786,0.5825,0.5568,395.77,39298741574400.0,0.26
800,16.25,101.25,1.073874,0.978848,0.5896,0.5801,0.5887,0.5875,0.564,452.96,44857527321600.0,0.26
900,16.62,84.56,0.99747,0.977613,0.5915,0.5844,0.5931,0.5872,0.573,509.99,50449919731200.0,0.26
1000,13.88,110.62,1.073592,0.973411,0.5914,0.5926,0.6029,0.5966,0.5782,567.16,55990626969600.0,0.26
1100,16.66,101.22,0.927506,0.969021,0.5938,0.593,0.5998,0.5982,0.5809,624.22,61510861209600.0,0.259
1200,16.59,99.81,0.925911,0.965621,0.5926,0.5966,0.6039,0.6013,0.5847,681.07,67042424736000.0,0.26
1300,32.0,87.91,0.879205,0.964444,0.5928,0.5935,0.6006,0.5974,0.5825,742.91,77851431936000.0,0.28
1400,34.0,96.56,1.113996,0.963711,0.5925,0.5906,0.5988,0.5934,0.5797,808.32,89491729651200.0,0.296
1500,37.0,91.09,0.821869,0.962359,0.5948,0.5892,0.5969,0.5919,0.5787,877.21,101974074854400.0,0.318
1600,39.0,97.44,0.974464,0.961651,0.5949,0.5884,0.5926,0.5912,0.5813,950.16,115348120588800.0,0.336
1700,41.0,110.84,0.883546,0.96148,0.596,0.5861,0.5859,0.5892,0.5832,1027.79,129554861529600.0,0.354
1800,44.0,103.56,1.076806,0.960566,0.5945,0.5853,0.5861,0.5916,0.578,1109.47,144610276320000.0,0.376
1900,46.0,95.31,1.120322,0.960103,0.5972,0.5875,0.5895,0.5964,0.5767,1195.51,160577556019200.0,0.392
2000,48.0,109.62,1.083202,0.958379,0.5961,0.592,0.5955,0.6043,0.5761,1285.03,177396873984000.0,0.407
2100,51.0,109.53,0.927213,0.956964,0.5969,0.5928,0.5968,0.6096,0.572,1379.61,195096559910400.0,0.443
2200,53.0,108.97,0.979711,0.955158,0.597,0.5939,0.5978,0.6125,0.5714,1478.86,213700613817600.0,0.454
2300,55.0,96.38,0.821978,0.954455,0.5996,0.5919,0.5945,0.6105,0.5707,1581.96,233185334112000.0,0.472
2400,58.0,103.06,1.016106,0.954005,0.5984,0.5934,0.5979,0.6118,0.5706,1689.8,253590593356800.0,0.493
2500,59.03,83.69,0.887781,0.95328,0.6002,0.5927,0.597,0.6119,0.5692,1801.8,274902083884800.0,0.51
