step,mean_features,mean_context,train_loss,val_loss,val_acc,val_auc,val_auc_easy,val_auc_medium,val_auc_hard,cum_time_s,cum_flops,peak_gpu_gb
100,18.94,98.59,1.014469,1.066164,0.5512,0.532,0.534,0.508,0.5541,61.61,8092575475200.0,0.372
200,19.62,94.66,0.942339,1.035713,0.5651,0.5205,0.498,0.5304,0.533,122.76,16176015705600.0,0.372
300,21.66,93.22,1.073658,1.021789,0.5716,0.5345,0.5379,0.531,0.5347,183.53,24105721651200.0,0.373
400,20.88,101.78,0.88586,1.00624,0.5781,0.5301,0.5258,0.5186,0.5459,244.39,32040493401600.0,0.373
500,25.09,104.94,0.919301,0.998939,0.5768,0.5398,0.5465,0.5239,0.549,304.8,39994984051200.0,0.373
600,24.66,101.59,0.890181,0.995541,0.5754,0.5537,0.5728,0.5419,0.5466,365.56,48095326022400.0,0.365
700,26.53,103.75,1.165335,0.991658,0.579,0.5643,0.5909,0.5556,0.5464,425.94,56072431180800.0,0.373
800,22.91,94.5,0.764622,0.988671,0.5851,0.5609,0.5924,0.547,0.5433,486.37,63964206144000.0,0.365
900,22.16,105.81,0.968381,0.985814,0.5843,0.561,0.5852,0.555,0.5428,546.98,72087733036800.0,0.373
1000,19.66,107.91,0.910822,0.982261,0.5867,0.5655,0.583,0.5649,0.5486,607.31,80056220659200.0,0.365
1100,22.25,104.41,0.869449,0.977866,0.5883,0.5787,0.597,0.5812,0.5581,667.97,88166989900800.0,0.372
1200,20.88,105.62,0.895119,0.971239,0.5933,0.5858,0.5997,0.5845,0.573,728.38,96123166905600.0,0.373
1300,19.19,96.69,0.850201,0.964802,0.5934,0.5909,0.6051,0.5911,0.5765,788.59,104034141849600.0,0.373
1400,21.69,105.66,0.926952,0.959985,0.5978,0.5937,0.6022,0.5974,0.5815,849.32,112176614361600.0,0.373
1500,22.41,96.47,1.051027,0.958007,0.6013,0.5952,0.6,0.6037,0.5819,909.4,120106813305600.0,0.373
1600,25.66,87.34,0.832329,0.957106,0.5995,0.597,0.6045,0.6085,0.5779,969.62,128209618713600.0,0.373
1700,26.22,104.72,0.870972,0.956131,0.5994,0.5989,0.6065,0.6168,0.5735,1030.03,136332066816000.0,0.372
1800,52.0,111.84,0.896252,0.954736,0.6001,0.5968,0.6043,0.6177,0.5684,1091.6,144728259148800.0,0.476
1900,46.0,100.56,0.991341,0.953181,0.6008,0.5973,0.6065,0.6169,0.5684,1177.59,160666102022400.0,0.391
2000,48.0,106.88,0.910245,0.950972,0.6008,0.5966,0.6092,0.6126,0.5681,1266.69,177455808979200.0,0.408
2100,51.0,105.38,0.990426,0.94924,0.6028,0.5968,0.6127,0.6133,0.5645,1360.56,195110751801600.0,0.437
2200,53.0,93.22,0.891142,0.94699,0.6051,0.5967,0.6134,0.611,0.5658,1459.29,213684759244800.0,0.449
2300,55.0,90.62,1.003097,0.946167,0.6063,0.5981,0.6168,0.6109,0.5666,1561.92,233139258892800.0,0.47
2400,58.0,105.78,0.954316,0.945832,0.6066,0.5987,0.6156,0.6116,0.569,1669.47,253498860576000.0,0.493
2500,60.0,91.78,0.806328,0.945034,0.6088,0.5979,0.6127,0.6105,0.5704,1781.42,274783310841600.0,0.508
