step,mean_features,mean_classes,mean_context,train_loss,val_loss,val_acc,val_auc,val_auc_easy,val_auc_medium,val_auc_hard,cum_time_s,cum_flops,peak_gpu_gb
100,10.59,4.22,158.47,1.123019,0.98192,0.576,0.5103,0.4826,0.4817,0.5667,28.64,218148710400.0,0.222
200,12.25,4.41,144.19,1.176534,0.941901,0.5964,0.5161,0.5139,0.5402,0.4942,56.55,437071680000.0,0.266
300,12.84,3.59,131.25,0.922841,0.928076,0.5984,0.5308,0.5307,0.5487,0.513,84.5,656557574400.0,0.317
400,21.97,4.09,144.22,1.024165,0.923333,0.603,0.531,0.5369,0.5523,0.5038,112.53,876533011200.0,0.345
500,18.0,3.75,122.47,0.934069,0.919214,0.6026,0.531,0.5211,0.5523,0.5195,140.56,1096830720000.0,0.38
600,28.84,3.44,142.41,0.962051,0.914834,0.6054,0.5295,0.5107,0.5575,0.5204,168.69,1317523680000.0,0.412
700,25.97,3.38,125.88,0.824777,0.91,0.6116,0.5309,0.5097,0.5593,0.5236,196.71,1538527968000.0,0.434
800,24.22,3.72,112.88,0.919459,0.904012,0.6155,0.5333,0.5126,0.5637,0.5237,224.76,1759790016000.0,0.458
900,35.91,4.72,137.09,1.161161,0.902566,0.6152,0.5356,0.519,0.5637,0.5241,252.89,1981373068800.0,0.489
1000,34.12,4.06,124.75,1.008808,0.900974,0.6151,0.54,0.5252,0.5593,0.5356,280.97,2203200633600.0,0.499
1100,23.91,4.38,89.66,1.043323,0.897883,0.6139,0.5467,0.5298,0.5663,0.5441,309.11,2425209523200.0,0.525
1200,34.12,3.81,111.0,0.928135,0.895539,0.6161,0.5513,0.5356,0.5679,0.5503,337.37,2647532793600.0,0.54
1300,31.16,4.69,96.31,1.16281,0.893351,0.6148,0.5625,0.5433,0.5795,0.5648,365.62,2870000582400.0,0.56
1400,31.34,4.06,90.31,0.978665,0.886664,0.6257,0.5701,0.5547,0.5786,0.577,393.8,3092698886400.0,0.551
1500,28.91,3.25,76.66,0.850428,0.879467,0.6278,0.5765,0.5642,0.5789,0.5862,421.99,3315674361600.0,0.537
1600,41.91,3.53,104.81,0.92438,0.876208,0.6272,0.5768,0.5698,0.5717,0.589,450.22,3538811289600.0,0.524
1700,34.0,4.41,75.34,1.01853,0.872445,0.631,0.5763,0.5674,0.5626,0.5991,478.49,3762208166400.0,0.512
1800,41.16,3.59,86.81,0.817122,0.869864,0.6316,0.5826,0.5724,0.5684,0.6069,506.78,3985895116800.0,0.5
1900,42.19,4.34,80.59,0.996226,0.867867,0.6323,0.5826,0.5703,0.5681,0.6094,535.07,4209885158400.0,0.492
2000,38.88,3.31,62.06,0.851535,0.867628,0.6329,0.5865,0.5737,0.5729,0.613,563.38,4434121440000.0,0.483
2100,51.53,3.97,85.97,0.944167,0.867509,0.6347,0.5878,0.571,0.5764,0.6161,591.62,4658737766400.0,0.473
2200,47.25,3.62,62.19,0.849197,0.86785,0.6352,0.5874,0.5648,0.5775,0.6199,620.21,4883754988800.0,0.463
2300,49.91,3.78,55.31,0.959677,0.870236,0.6332,0.587,0.5672,0.5774,0.6165,648.65,5109199372800.0,0.454
2400,51.19,3.97,40.41,0.978608,0.872403,0.6313,0.5831,0.5621,0.5719,0.6151,676.92,5335201382400.0,0.443
2500,59.59,4.88,21.47,1.204367,0.873915,0.6316,0.5827,0.5662,0.5717,0.6103,705.15,5562012211200.0,0.43
