step,mean_features,mean_context,train_loss,val_loss,val_acc,val_auc,val_auc_easy,val_auc_medium,val_auc_hard,cum_time_s,cum_flops,peak_gpu_gb
100,9.38,98.69,1.073738,1.066641,0.5402,0.5135,0.4898,0.5148,0.5361,57.21,3333051417600.0,0.157
200,9.34,101.97,1.008294,1.029911,0.5607,0.5422,0.5245,0.5507,0.5515,113.46,6652121241600.0,0.157
300,9.09,97.66,1.042194,1.015005,0.5726,0.5566,0.5521,0.5471,0.5707,169.96,10008649612800.0,0.157
400,8.16,98.84,0.729447,1.00629,0.5736,0.5655,0.5748,0.5418,0.5799,226.56,13290433862400.0,0.157
500,8.59,93.53,1.023783,0.993359,0.5805,0.5839,0.5944,0.5923,0.5648,282.84,16630707974400.0,0.157
600,10.12,98.38,0.91646,0.980516,0.5928,0.594,0.6022,0.6078,0.5721,339.22,19955336947200.0,0.157
700,23.53,101.16,0.910097,0.973976,0.5967,0.5935,0.6055,0.6037,0.5714,396.39,26998323321600.0,0.263
800,23.5,100.16,0.844518,0.967716,0.5973,0.5954,0.6082,0.5993,0.5789,454.03,35245818662400.0,0.273
900,22.47,97.69,0.875081,0.96355,0.6,0.599,0.6179,0.5981,0.581,511.96,43493641286400.0,0.265
1000,23.09,104.56,0.847923,0.961934,0.6004,0.5996,0.616,0.6006,0.5821,569.21,51731188876800.0,0.273
1100,23.56,110.16,0.879725,0.960766,0.6004,0.5983,0.6118,0.6051,0.5779,626.27,59982380064000.0,0.273
1200,23.16,88.66,1.058582,0.958409,0.6004,0.5961,0.612,0.6026,0.5737,683.56,68219668108800.0,0.273
1300,38.22,104.44,0.818124,0.956781,0.6019,0.5969,0.6152,0.608,0.5674,748.58,79072360704000.0,0.384
1400,38.28,101.5,0.875672,0.955136,0.6002,0.5971,0.6104,0.6111,0.5696,821.41,92532046809600.0,0.384
1500,38.88,90.09,0.819474,0.953293,0.6026,0.5994,0.6152,0.613,0.5699,894.29,105997314873600.0,0.384
1600,38.53,105.06,0.800593,0.952278,0.6024,0.5972,0.6121,0.611,0.5685,967.12,119453703436800.0,0.384
1700,37.88,111.03,0.911942,0.951454,0.6026,0.5967,0.6136,0.6091,0.5674,1039.84,132921279763200.0,0.384
1800,38.5,87.19,1.026428,0.951384,0.6032,0.5971,0.6131,0.6088,0.5694,1112.9,146396172960000.0,0.381
1900,53.59,90.81,0.9537,0.951172,0.6038,0.5983,0.6087,0.6103,0.5758,1191.91,161217207532800.0,0.503
2000,53.44,96.09,0.933593,0.950569,0.6028,0.6008,0.6098,0.6136,0.5791,1289.79,180152829907200.0,0.503
2100,51.78,84.34,0.748239,0.950279,0.603,0.6035,0.615,0.6166,0.5789,1387.74,199162789459200.0,0.503
2200,52.09,111.81,0.923538,0.949797,0.6038,0.6057,0.6206,0.6186,0.578,1484.92,218101499078400.0,0.508
2300,52.5,97.53,0.951682,0.948729,0.6028,0.6057,0.6215,0.6206,0.5751,1581.91,237067300972800.0,0.508
2400,53.75,113.41,0.72403,0.948241,0.6029,0.6059,0.6242,0.6215,0.572,1679.05,256025688019200.0,0.508
2500,50.56,84.34,0.849959,0.946893,0.6035,0.6077,0.6306,0.622,0.5707,1775.75,274900136774400.0,0.508
