step,mean_features,train_loss,val_loss,val_acc,val_auc,val_auc_easy,val_auc_medium,val_auc_hard,cum_time_s,cum_flops,peak_gpu_gb
100,9.0,1.180434,0.975731,0.5943,0.522,0.5252,0.5341,0.5067,28.81,217768262400.0,0.151
200,16.0,1.045714,0.954167,0.6033,0.5227,0.5253,0.5404,0.5023,56.92,436812998400.0,0.207
300,23.0,1.037492,0.952734,0.6058,0.5208,0.5335,0.5206,0.5082,85.29,657153504000.0,0.258
400,30.0,0.916442,0.953661,0.6048,0.5312,0.5348,0.5343,0.5246,113.82,878778950400.0,0.318
500,37.0,0.959004,0.9548,0.6088,0.5359,0.549,0.5411,0.5178,142.46,1101686976000.0,0.367
600,44.0,0.849952,0.955204,0.6108,0.5421,0.5509,0.5445,0.5308,171.09,1325886336000.0,0.426
700,51.0,0.817429,0.956102,0.6078,0.5518,0.5636,0.5549,0.537,199.76,1551369657600.0,0.489
800,58.0,0.892605,0.953597,0.6062,0.5692,0.5945,0.5666,0.5465,228.44,1778132851200.0,0.539
900,7.0,0.980122,0.927244,0.6148,0.5731,0.5861,0.5702,0.563,256.64,1999041235200.0,0.559
1000,13.94,0.980519,0.923817,0.6171,0.5785,0.588,0.5831,0.5645,284.61,2217656102400.0,0.186
1100,21.0,1.12554,0.918365,0.6162,0.583,0.5931,0.5975,0.5585,312.85,2437564262400.0,0.244
1200,27.91,0.782104,0.916737,0.6153,0.583,0.5922,0.5995,0.5573,341.3,2658764044800.0,0.296
1300,34.59,1.07782,0.916064,0.6183,0.5826,0.5925,0.5988,0.5564,369.84,2881239782400.0,0.353
1400,41.56,1.160051,0.914734,0.6194,0.5836,0.5972,0.599,0.5545,398.44,3105009561600.0,0.407
1500,48.0,0.88042,0.916267,0.6196,0.5852,0.5969,0.5982,0.5606,427.04,3330066528000.0,0.457
1600,55.0,0.905832,0.917751,0.6218,0.5853,0.5937,0.5973,0.5648,455.7,3556407513600.0,0.52
1700,4.0,0.859248,0.909305,0.6234,0.5883,0.5994,0.6022,0.5634,484.12,3780455961600.0,0.559
1800,11.0,0.90179,0.906234,0.6243,0.5921,0.6049,0.6077,0.5638,512.1,3998647526400.0,0.166
1900,18.0,0.708283,0.903416,0.6251,0.5926,0.606,0.6087,0.5633,540.34,4218124032000.0,0.22
2000,25.0,0.917682,0.901374,0.6242,0.5927,0.6036,0.6128,0.5616,568.73,4438894694400.0,0.277
2100,32.0,0.880663,0.899564,0.6238,0.5933,0.6001,0.6174,0.5625,597.15,4660945804800.0,0.327
2200,39.0,0.856245,0.900525,0.6247,0.5925,0.5953,0.6156,0.5667,626.03,4884284908800.0,0.385
2300,46.0,0.908241,0.901308,0.6277,0.591,0.5925,0.6171,0.5633,654.72,5108914368000.0,0.441
2400,53.0,1.079088,0.9027,0.6277,0.5897,0.5909,0.6181,0.56,683.37,5334826003200.0,0.5
2500,60.0,0.974474,0.904177,0.6297,0.5891,0.5877,0.6198,0.5597,712.04,5562012211200.0,0.559
