step,mean_features,mean_classes,train_loss,val_loss,val_acc,val_auc,val_auc_easy,val_auc_medium,val_auc_hard,cum_time_s,cum_flops,peak_gpu_gb
100,32.0,2.0,0.484653,3.014888,0.5204,0.5283,0.5184,0.5415,0.5249,29.87,222468998400.0,0.558
200,32.34,2.0,0.516774,2.901864,0.52,0.5243,0.5209,0.5387,0.5132,58.88,444947558400.0,0.559
300,29.97,2.0,0.546583,2.936094,0.5262,0.5361,0.5393,0.5386,0.5302,87.87,667454457600.0,0.555
400,32.56,2.0,0.471474,3.115606,0.5251,0.5368,0.5263,0.5479,0.5364,116.8,889897075200.0,0.559
500,36.44,2.0,0.516805,3.286791,0.5249,0.5389,0.5274,0.5453,0.5441,145.91,1112439974400.0,0.559
600,31.97,2.0,0.541247,3.385929,0.5281,0.5447,0.538,0.5435,0.5525,175.12,1334922336000.0,0.555
700,28.94,2.0,0.448497,3.508876,0.53,0.5478,0.536,0.5434,0.5639,204.32,1557436838400.0,0.555
800,31.62,2.0,0.523271,3.550627,0.5327,0.5399,0.5365,0.5379,0.5454,233.53,1779967584000.0,0.548
900,29.91,2.0,0.492637,3.625799,0.5384,0.536,0.5289,0.5385,0.5406,262.54,2002309689600.0,0.55
1000,27.91,2.0,0.492227,3.739459,0.5325,0.5414,0.5328,0.5563,0.5352,291.51,2224812787200.0,0.559
1100,33.69,2.0,0.494437,3.789905,0.5388,0.5453,0.532,0.5545,0.5493,320.46,2447400614400.0,0.559
1200,29.12,2.0,0.483987,3.850719,0.5377,0.5585,0.5478,0.563,0.5647,349.4,2669935564800.0,0.555
1300,30.47,2.0,0.45306,3.842789,0.5415,0.5659,0.5604,0.5533,0.5841,378.33,2892326803200.0,0.558
1400,29.94,2.06,0.600891,4.164791,0.5461,0.5689,0.573,0.5459,0.5877,407.27,3114773280000.0,0.548
1500,32.47,3.0,0.862253,2.151119,0.5518,0.565,0.5544,0.5484,0.5922,436.26,3337222464000.0,0.543
1600,24.91,4.0,1.217713,1.8148,0.5733,0.5699,0.5595,0.5562,0.5939,465.28,3559689216000.0,0.559
1700,29.91,4.0,1.066739,1.481509,0.582,0.5681,0.5585,0.5523,0.5937,494.2,3782143180800.0,0.555
1800,30.34,5.0,1.33091,1.253283,0.5961,0.5687,0.5568,0.5466,0.6025,523.17,4004688787200.0,0.559
1900,38.72,6.0,1.587978,1.164727,0.6005,0.5602,0.5509,0.5423,0.5873,552.11,4227193382400.0,0.555
2000,30.0,6.0,1.520266,1.090983,0.6081,0.5601,0.5551,0.5579,0.5673,581.09,4449651091200.0,0.559
2100,35.19,7.0,1.713798,1.034473,0.6148,0.5716,0.5681,0.5799,0.5669,610.28,4672087142400.0,0.551
2200,35.69,8.0,1.917615,1.023099,0.612,0.567,0.5667,0.5771,0.5574,639.75,4894672089600.0,0.555
2300,34.31,9.0,2.272494,1.022363,0.6137,0.5644,0.5552,0.5745,0.5636,668.75,5117079974400.0,0.558
2400,32.16,9.0,2.032086,1.021468,0.6152,0.5642,0.5469,0.5729,0.5728,697.9,5339542694400.0,0.543
2500,29.16,10.0,2.133466,1.020795,0.6119,0.5667,0.5429,0.5743,0.5828,727.08,5562012211200.0,0.548
