step,mean_features,mean_classes,mean_context,train_loss,val_loss,val_acc,val_auc,val_auc_easy,val_auc_medium,val_auc_hard,cum_time_s,cum_flops,peak_gpu_gb
100,32.12,3.62,26.0,1.012314,0.983512,0.562,0.4881,0.4676,0.4816,0.5152,28.85,222534892800.0,0.39
200,30.69,4.5,32.0,1.094486,0.942987,0.6004,0.508,0.5087,0.5331,0.4821,56.88,444922329600.0,0.395
300,29.97,3.94,39.0,1.014129,0.928547,0.6048,0.5181,0.5238,0.5289,0.5017,84.95,667396569600.0,0.405
400,28.47,4.22,45.0,1.11935,0.920639,0.606,0.515,0.524,0.531,0.49,113.11,889947360000.0,0.407
500,24.78,3.5,51.0,0.921354,0.914698,0.6095,0.5198,0.5189,0.5265,0.5139,141.27,1112460019200.0,0.424
600,29.75,4.06,58.0,0.982483,0.908688,0.6119,0.539,0.5241,0.5478,0.5451,169.5,1334977689600.0,0.427
700,30.81,4.03,64.0,1.00688,0.899491,0.6199,0.5571,0.5383,0.5627,0.5703,197.73,1557489600000.0,0.432
800,29.78,4.56,71.0,1.150757,0.894589,0.6193,0.5618,0.542,0.56,0.5835,225.96,1780075123200.0,0.432
900,27.59,3.41,77.0,0.819341,0.892315,0.6216,0.5621,0.5511,0.5463,0.5889,254.17,2002571078400.0,0.436
1000,29.84,3.69,83.0,0.930814,0.889898,0.6217,0.5706,0.5723,0.5402,0.5994,282.4,2225007705600.0,0.443
1100,26.09,4.03,90.0,0.942348,0.890215,0.6255,0.581,0.591,0.5476,0.6043,310.61,2447461440000.0,0.448
1200,33.41,3.44,96.0,0.774274,0.888568,0.6273,0.5886,0.6012,0.5561,0.6085,338.83,2669975078400.0,0.453
1300,32.34,4.12,102.66,0.930082,0.889714,0.6292,0.5973,0.6106,0.567,0.6143,367.06,2892400416000.0,0.46
1400,29.34,3.31,109.0,0.768978,0.888176,0.6308,0.6038,0.616,0.5729,0.6226,395.3,3114875750400.0,0.463
1500,32.25,3.94,115.0,0.884369,0.88906,0.6308,0.6087,0.6179,0.5797,0.6283,423.54,3337253280000.0,0.471
1600,26.78,3.19,122.0,0.706669,0.891089,0.6326,0.6083,0.6196,0.5796,0.6256,451.81,3559706323200.0,0.478
1700,30.16,3.31,128.0,0.81013,0.893018,0.6304,0.6074,0.6166,0.5826,0.6231,480.05,3782250662400.0,0.481
1800,30.0,4.22,134.0,1.018361,0.894935,0.6312,0.6056,0.6111,0.5839,0.6218,508.29,4004639654400.0,0.487
1900,27.56,3.88,141.0,0.90372,0.898141,0.6319,0.6032,0.6087,0.5816,0.6192,536.55,4227153235200.0,0.491
2000,36.44,4.06,147.0,0.982885,0.901329,0.6306,0.6017,0.6056,0.5809,0.6187,564.83,4449638880000.0,0.499
2100,35.91,3.75,154.0,0.89759,0.90516,0.6317,0.6004,0.6021,0.5779,0.6213,593.08,4672112025600.0,0.511
2200,29.03,3.47,160.0,0.808149,0.907289,0.6326,0.6004,0.6025,0.5778,0.6207,621.38,4894613049600.0,0.524
2300,35.25,3.66,167.0,0.912528,0.909451,0.6307,0.601,0.6056,0.5755,0.622,649.55,5117087404800.0,0.536
2400,34.38,3.69,173.0,0.888373,0.910747,0.6299,0.6021,0.6074,0.5733,0.6255,677.7,5339555308800.0,0.549
2500,32.19,3.88,179.0,0.979032,0.913876,0.6293,0.6006,0.6064,0.5702,0.6252,705.85,5562012211200.0,0.56
