step,mean_features,mean_context,train_loss,val_loss,val_acc,val_auc,val_auc_easy,val_auc_medium,val_auc_hard,cum_time_s,cum_flops,peak_gpu_gb
100,4.0,95.84,1.017667,1.11265,0.5471,0.53,0.5182,0.5298,0.5421,55.05,1340560281600.0,0.063
200,7.0,91.62,0.903935,1.060581,0.5555,0.5524,0.5614,0.5455,0.5503,109.72,3428892345600.0,0.102
300,9.0,86.41,1.140706,1.043176,0.5682,0.5721,0.5916,0.577,0.5476,164.9,6289114406400.0,0.102
400,11.0,101.84,0.904884,1.022474,0.5869,0.5927,0.6107,0.6047,0.5627,220.21,9891698400000.0,0.116
500,13.0,101.72,0.886302,1.011306,0.5925,0.5919,0.6064,0.601,0.5684,275.48,14256157939200.0,0.133
600,16.0,112.12,0.857972,0.995899,0.593,0.5922,0.6079,0.5996,0.5693,330.67,19410829286400.0,0.156
700,18.0,90.16,0.991483,0.986051,0.5965,0.5955,0.6145,0.5992,0.5727,386.33,25348161600000.0,0.172
800,20.0,92.94,0.973887,0.985152,0.595,0.5997,0.6199,0.6033,0.576,441.36,32060141798400.0,0.187
900,23.0,108.34,0.972636,0.984603,0.5969,0.6036,0.6201,0.6024,0.5882,496.51,39598467148800.0,0.21
1000,25.0,90.06,0.915777,0.986378,0.5903,0.6023,0.6172,0.5968,0.5929,551.8,47957551027200.0,0.225
1100,27.0,109.84,0.915459,0.986649,0.5899,0.6031,0.6141,0.6006,0.5945,608.57,57093271718400.0,0.242
1200,30.0,93.47,0.784498,0.987185,0.5893,0.6032,0.6136,0.6013,0.5947,667.29,67042424736000.0,0.259
1300,32.0,87.91,0.88891,0.986821,0.5908,0.6008,0.6114,0.6015,0.5896,728.33,77851431936000.0,0.28
1400,34.0,96.56,1.11409,0.986829,0.5893,0.6019,0.6126,0.6027,0.5904,792.42,89491729651200.0,0.296
1500,37.0,91.09,0.822541,0.988573,0.5885,0.603,0.6114,0.6078,0.5899,859.91,101974074854400.0,0.32
1600,39.0,97.44,0.976834,0.990343,0.5873,0.6041,0.6103,0.6105,0.5915,931.31,115348120588800.0,0.337
1700,41.0,110.84,0.873121,0.992267,0.5867,0.6051,0.6146,0.6106,0.5902,1007.19,129554861529600.0,0.35
1800,44.0,103.56,1.075159,0.993221,0.5869,0.6057,0.6145,0.6104,0.5923,1086.98,144610276320000.0,0.375
1900,46.0,95.31,1.122363,0.997757,0.588,0.6075,0.6163,0.6153,0.591,1171.16,160577556019200.0,0.393
2000,48.0,109.62,1.076947,1.000146,0.5878,0.6085,0.619,0.6158,0.5907,1258.55,177396873984000.0,0.409
2100,51.0,109.53,0.935119,1.004449,0.5844,0.6081,0.6185,0.6156,0.5901,1350.56,195096559910400.0,0.439
2200,53.0,108.97,0.979484,1.009519,0.5794,0.6085,0.6186,0.6147,0.5921,1446.32,213700613817600.0,0.449
2300,55.0,96.38,0.828566,1.012459,0.578,0.607,0.6195,0.612,0.5894,1545.66,233185334112000.0,0.47
2400,58.0,103.06,1.022086,1.015095,0.5798,0.6062,0.62,0.6113,0.5873,1649.65,253590593356800.0,0.492
2500,58.16,83.47,0.839784,1.017547,0.5795,0.605,0.6191,0.6089,0.5872,1757.7,274899103430400.0,0.51
