epoch,epoch_time_s,cum_time_s,loss,gpu_mem_gb
1,4.616,4.616,1.395046,1.978
2,4.856,9.472,1.060267,1.800
3,4.549,14.021,1.231953,1.870
4,4.638,18.659,1.031858,1.904
5,4.391,23.050,1.135632,1.873
6,4.638,27.688,1.017108,1.840
7,4.774,32.463,0.987984,1.971
8,3.417,35.879,0.741291,0.695
9,3.547,39.426,0.754967,0.685
10,3.297,42.723,0.821073,0.690
11,3.338,46.061,0.793142,0.699
12,3.249,49.311,0.820264,0.733
13,3.493,52.804,0.775804,0.694
14,3.261,56.065,0.805454,0.687
15,2.976,59.041,0.509699,0.260
16,3.170,62.211,0.499095,0.260
17,2.957,65.167,0.516938,0.258
18,2.911,68.079,0.492810,0.260
19,2.970,71.049,0.524238,0.260
20,3.161,74.210,0.498799,0.260
