step,toy_roc_auc
100,0.6239
200,0.7128
300,0.6217
400,0.6106
500,0.5416
600,0.4337
700,0.4335
800,0.4632
900,0.5129
1000,0.6073
1100,0.6516
1200,0.7106
1300,0.7187
1400,0.7171
1500,0.7102
1600,0.6852
1700,0.6922
1800,0.6875
1900,0.6576
2000,0.6563
2100,0.6751
2200,0.6961
2300,0.7085
2400,0.7283
2500,0.7358
2600,0.7429
2700,0.7454
2800,0.7361
2900,0.7404
3000,0.7524
3100,0.7630
3200,0.7682
3300,0.7897
3400,0.8043
3500,0.8156
3600,0.8316
3700,0.8385
3800,0.8402
3900,0.8406
4000,0.8423
4100,0.8471
4200,0.8480
4300,0.8507
4400,0.8573
4500,0.8552
4600,0.8645
4700,0.8692
4800,0.8853
4900,0.8923
5000,0.9139
5100,0.9369
5200,0.9514
5300,0.9554
5400,0.9667
5500,0.9712
5600,0.9734
5700,0.9724
5800,0.9746
5900,0.9760
6000,0.9747
6100,0.9765
6200,0.9788
6300,0.9805
6400,0.9809
6500,0.9792
6600,0.9792
6700,0.9792
6800,0.9792
6900,0.9792
7000,0.9778
7100,0.9782
7200,0.9782
7300,0.9782
7400,0.9805
7500,0.9782
7600,0.9787
7700,0.9787
7800,0.9787
7900,0.9787
8000,0.9787
8100,0.9782
8200,0.9787
8300,0.9782
8400,0.9782
8500,0.9805
8600,0.9809
8700,0.9823
8800,0.9832
8900,0.9832
9000,0.9832
9100,0.9832
9200,0.9849
9300,0.9849
9400,0.9849
9500,0.9858
9600,0.9880
9700,0.9902
9800,0.9902
9900,0.9880
10000,0.9880
