step,interval_time_s,cum_time_s,loss,gpu_mem_gb
100,38.027,38.027,0.508111,1.331
200,35.157,73.185,0.490805,1.344
300,33.605,106.790,0.487973,1.337
400,33.051,139.841,0.496101,1.344
500,45.056,184.897,0.476761,1.330
600,35.469,220.366,0.474314,1.338
700,33.416,253.782,0.485442,1.338
800,34.210,287.992,0.480311,1.338
900,73.029,361.021,0.483963,1.338
1000,67.743,428.764,0.474476,1.332
1100,34.523,463.287,0.464059,1.345
1200,33.855,497.142,0.461207,1.345
1300,36.057,533.199,0.451761,1.345
1400,32.828,566.027,0.460435,1.315
1500,33.547,599.573,0.452944,1.338
1600,35.419,634.992,0.463565,1.345
1700,31.511,666.503,0.457683,1.338
1800,33.096,699.600,0.454917,1.332
1900,33.732,733.332,0.459166,1.332
2000,33.443,766.775,0.450599,1.320
2100,39.558,806.333,0.460692,1.345
2200,34.816,841.149,0.455361,1.338
2300,33.767,874.915,0.452759,1.332
2400,35.650,910.565,0.457836,1.332
2500,34.777,945.342,0.449005,1.320
