step,interval_time_s,cum_time_s,loss,gpu_mem_gb
100,67.529,67.529,0.706062,1.581
200,55.670,123.199,0.681234,1.566
300,56.874,180.073,0.693497,1.579
400,56.666,236.739,0.693807,1.579
500,59.825,296.564,0.693385,1.570
600,72.014,368.578,0.693404,1.582
700,58.472,427.050,0.693464,1.567
800,58.198,485.248,0.693251,1.580
900,57.505,542.753,0.693500,1.580
1000,62.240,604.993,0.693255,1.571
1100,65.309,670.302,0.693339,1.582
1200,60.748,731.050,0.693385,1.567
1300,52.306,783.356,0.693220,1.580
1400,52.241,835.597,0.693521,1.580
1500,57.921,893.518,0.693272,1.571
1600,67.364,960.882,0.693342,1.582
1700,56.282,1017.163,0.693380,1.567
1800,59.243,1076.407,0.693210,1.580
1900,51.630,1128.037,0.693439,1.580
2000,54.826,1182.863,0.693258,1.571
2100,70.429,1253.292,0.693328,1.582
2200,57.952,1311.244,0.693439,1.567
2300,65.776,1377.020,0.693206,1.580
2400,62.457,1439.477,0.693447,1.580
2500,65.501,1504.978,0.693236,1.571
