step,interval_time_s,cum_time_s,loss,gpu_mem_gb
100,28.051,28.051,0.536354,0.565
200,26.642,54.694,0.518783,0.565
300,26.042,80.735,0.515562,0.565
400,27.353,108.088,0.526705,0.565
500,32.346,140.435,0.512806,0.565
600,24.644,165.079,0.510653,0.567
700,28.640,193.719,0.522883,0.567
800,27.258,220.977,0.520838,0.567
900,36.131,257.108,0.505574,0.567
1000,46.396,303.504,0.507703,0.567
1100,29.737,333.241,0.511263,0.567
1200,28.807,362.048,0.515739,0.567
1300,29.592,391.640,0.511597,0.567
1400,27.897,419.537,0.516221,0.566
1500,24.950,444.487,0.510961,0.566
1600,27.686,472.173,0.509920,0.568
1700,28.097,500.269,0.503773,0.568
1800,27.228,527.498,0.515006,0.568
1900,27.104,554.602,0.511188,0.568
2000,26.929,581.530,0.507437,0.568
2100,27.419,608.949,0.504074,0.568
2200,28.031,636.980,0.497027,0.568
2300,27.377,664.357,0.502878,0.568
2400,26.877,691.234,0.497925,0.568
2500,25.664,716.898,0.495785,0.568
