step,mean_features,mean_context,train_loss,val_loss,val_acc,val_auc,val_auc_easy,val_auc_medium,val_auc_hard,cum_time_s,cum_flops,peak_gpu_gb
100,4.0,95.84,1.017667,1.11265,0.5471,0.53,0.5182,0.5298,0.5421,54.84,1340560281600.0,0.063
200,7.0,91.62,0.903935,1.060581,0.5555,0.5524,0.5614,0.5455,0.5503,109.36,3428892345600.0,0.102
300,9.0,86.41,1.140706,1.043176,0.5682,0.5721,0.5916,0.577,0.5476,164.2,6289114406400.0,0.102
400,11.0,101.84,0.904884,1.022474,0.5869,0.5927,0.6107,0.6047,0.5627,219.25,9891698400000.0,0.116
500,13.0,101.72,0.886302,1.011306,0.5925,0.5919,0.6064,0.601,0.5684,274.64,14256157939200.0,0.133
600,16.0,112.12,0.857972,0.995899,0.593,0.5922,0.6079,0.5996,0.5693,330.23,19410829286400.0,0.156
700,18.0,90.16,0.991483,0.986051,0.5965,0.5955,0.6145,0.5992,0.5727,385.51,25348161600000.0,0.172
800,20.0,92.94,0.973887,0.985152,0.595,0.5997,0.6199,0.6033,0.576,440.59,32060141798400.0,0.187
900,23.0,108.34,0.972636,0.984603,0.5969,0.6036,0.6201,0.6024,0.5882,495.67,39598467148800.0,0.21
1000,25.0,90.06,0.915777,0.986378,0.5903,0.6023,0.6172,0.5968,0.5929,550.95,47957551027200.0,0.225
1100,27.0,109.84,0.915459,0.986649,0.5899,0.6031,0.6141,0.6006,0.5945,607.92,57093271718400.0,0.242
1200,30.0,93.47,0.784498,0.987185,0.5893,0.6032,0.6136,0.6013,0.5947,666.14,67042424736000.0,0.259
1300,32.0,87.91,0.88891,0.986821,0.5908,0.6008,0.6114,0.6015,0.5896,726.7,77851431936000.0,0.28
1400,34.0,96.56,1.11409,0.986829,0.5893,0.6019,0.6126,0.6027,0.5904,790.41,89491729651200.0,0.296
1500,37.0,91.09,0.822541,0.988573,0.5885,0.603,0.6114,0.6078,0.5899,857.32,101974074854400.0,0.32
1600,39.0,97.44,0.976834,0.990343,0.5873,0.6041,0.6103,0.6105,0.5915,928.06,115348120588800.0,0.337
1700,41.0,110.84,0.873121,0.992267,0.5867,0.6051,0.6146,0.6106,0.5902,1003.29,129554861529600.0,0.35
1800,44.16,106.53,1.071871,0.993199,0.5869,0.6057,0.6145,0.6104,0.5923,1082.34,144610862976000.0,0.375
1900,50.91,119.59,0.827475,0.998053,0.5886,0.6083,0.6178,0.6136,0.5936,1178.01,163241136000000.0,0.51
2000,51.03,94.66,0.974266,1.002121,0.5856,0.6098,0.6223,0.6161,0.5909,1273.65,181913948409600.0,0.505
2100,51.69,96.12,0.860406,1.004275,0.5852,0.6088,0.6214,0.6163,0.5886,1369.07,200506424198400.0,0.505
2200,51.91,91.06,1.005188,1.006018,0.5846,0.607,0.6187,0.6153,0.587,1464.65,219099514291200.0,0.51
2300,50.38,92.0,1.082582,1.006606,0.5857,0.6071,0.6176,0.6153,0.5884,1560.01,237673905350400.0,0.509
2400,52.62,94.12,0.934317,1.006106,0.5846,0.6075,0.6175,0.6171,0.5878,1655.56,256274107545600.0,0.505
2500,49.59,95.81,0.849344,1.00422,0.5827,0.6074,0.6168,0.6174,0.5881,1750.9,274899103430400.0,0.51
