step,mean_features,mean_context,train_loss,val_loss,val_acc,val_auc,val_auc_easy,val_auc_medium,val_auc_hard,cum_time_s,cum_flops,peak_gpu_gb
100,9.44,93.31,1.29614,1.06862,0.549,0.4887,0.514,0.4894,0.4627,54.74,3349361664000.0,0.157
200,8.75,99.28,0.855837,1.039801,0.5613,0.508,0.5246,0.5152,0.4843,109.23,6658736371200.0,0.157
300,9.44,105.59,1.147622,1.028238,0.5684,0.5167,0.5,0.5214,0.5286,164.44,10012126694400.0,0.157
400,9.66,108.34,0.892269,1.017563,0.5679,0.5249,0.5045,0.5344,0.5358,219.9,13339533427200.0,0.157
500,9.38,102.75,1.193511,1.010471,0.5747,0.5201,0.4976,0.5309,0.5319,275.95,16638267801600.0,0.157
600,7.75,102.94,0.996468,1.00443,0.5753,0.5261,0.5137,0.5444,0.52,331.72,19990893139200.0,0.157
700,22.5,103.53,0.858588,1.001107,0.5764,0.5387,0.5334,0.5501,0.5326,388.36,26981938080000.0,0.272
800,24.69,93.12,1.058503,0.998078,0.5753,0.5459,0.5293,0.5574,0.551,444.96,35223555283200.0,0.267
900,23.88,90.62,0.938173,0.994367,0.5768,0.5595,0.546,0.5859,0.5466,501.73,43504029849600.0,0.272
1000,23.84,107.81,0.817808,0.987932,0.5847,0.5698,0.5562,0.6007,0.5526,558.57,51805229702400.0,0.272
1100,23.56,107.12,1.030806,0.982598,0.5853,0.5726,0.5608,0.5923,0.5648,615.41,60031410681600.0,0.264
1200,23.78,103.69,0.977905,0.978015,0.5919,0.5774,0.572,0.5943,0.5657,672.01,68244282777600.0,0.271
1300,39.09,104.22,0.896147,0.975931,0.5909,0.5817,0.5729,0.6006,0.5718,736.44,79112803334400.0,0.383
1400,38.38,96.16,0.951287,0.975148,0.5905,0.5803,0.5698,0.6044,0.5666,808.16,92564313062400.0,0.383
1500,37.5,102.28,0.954438,0.973657,0.5902,0.5825,0.5723,0.6073,0.5679,880.02,106037418297600.0,0.382
1600,38.78,88.56,0.813611,0.973249,0.589,0.5838,0.5753,0.6088,0.5673,951.87,119513976595200.0,0.383
1700,37.47,100.44,0.977424,0.972054,0.5893,0.5868,0.5792,0.6115,0.5696,1023.78,132932171865600.0,0.383
1800,37.41,101.41,0.759396,0.971326,0.5926,0.5906,0.5841,0.615,0.5727,1095.63,146398520966400.0,0.383
1900,54.09,99.84,0.718415,0.970138,0.5931,0.5927,0.5855,0.6167,0.5758,1174.02,161228924064000.0,0.506
2000,52.19,110.78,1.023946,0.968684,0.591,0.5921,0.5861,0.6155,0.5746,1270.69,180141233126400.0,0.511
2100,50.44,101.38,0.87021,0.967138,0.5919,0.5917,0.5848,0.6154,0.575,1367.66,199102780166400.0,0.506
2200,52.16,115.22,0.810524,0.965648,0.595,0.5911,0.5833,0.6162,0.5739,1464.43,218052603763200.0,0.511
2300,53.47,83.25,1.032777,0.963776,0.5951,0.593,0.5839,0.62,0.5752,1561.21,236962695974400.0,0.506
2400,51.47,95.41,0.926151,0.963023,0.5953,0.5941,0.5823,0.6214,0.5785,1658.33,255946053312000.0,0.506
2500,52.06,113.12,1.036959,0.962878,0.5955,0.5921,0.5782,0.6179,0.5803,1755.57,274899512620800.0,0.511
