step,mean_features,mean_context,train_loss,val_loss,val_acc,val_auc,val_auc_easy,val_auc_medium,val_auc_hard,cum_time_s,cum_flops,peak_gpu_gb
100,4.0,95.84,1.012903,1.105481,0.5412,0.527,0.5348,0.5078,0.5383,54.7,1340560281600.0,0.063
200,7.0,91.62,0.898126,1.064594,0.5527,0.5297,0.5279,0.5204,0.5406,107.57,3428892345600.0,0.102
300,9.0,86.41,1.125896,1.051105,0.5664,0.5525,0.5574,0.5434,0.5566,160.43,6289114406400.0,0.102
400,11.0,101.84,0.900837,1.02793,0.5728,0.5773,0.5737,0.5703,0.5878,213.34,9891698400000.0,0.116
500,13.0,101.72,0.889851,1.016466,0.5854,0.577,0.5754,0.5719,0.5838,266.68,14256157939200.0,0.133
600,16.0,112.12,0.860977,1.008614,0.5852,0.5793,0.5886,0.5656,0.5838,319.97,19410829286400.0,0.156
700,18.0,90.16,0.982499,1.001069,0.5898,0.5884,0.5971,0.5836,0.5846,373.83,25348161600000.0,0.172
800,20.0,92.94,0.975794,1.000528,0.5977,0.5856,0.5867,0.5855,0.5848,426.93,32060141798400.0,0.187
900,23.0,108.34,0.967142,0.999406,0.5959,0.5895,0.5904,0.5943,0.5838,480.28,39598467148800.0,0.21
1000,25.0,90.06,0.904694,1.000264,0.5959,0.5946,0.5972,0.5984,0.5882,534.24,47957551027200.0,0.225
1100,27.0,109.84,0.899574,1.000155,0.5935,0.5962,0.5948,0.6048,0.589,589.62,57093271718400.0,0.242
1200,30.0,93.47,0.757827,0.999956,0.5972,0.5937,0.5872,0.6088,0.5851,646.92,67042424736000.0,0.259
1300,32.0,87.91,0.891666,1.001164,0.5969,0.5913,0.5906,0.6071,0.5763,707.15,77851431936000.0,0.28
1400,34.0,96.56,1.109927,1.001001,0.597,0.5904,0.5941,0.602,0.575,770.83,89491729651200.0,0.296
1500,37.0,91.09,0.816611,1.003153,0.5944,0.5929,0.5989,0.6025,0.5772,838.13,101974074854400.0,0.32
1600,39.0,97.44,0.970265,1.004843,0.5934,0.5929,0.5999,0.6017,0.577,909.45,115348120588800.0,0.337
1700,41.0,110.84,0.875105,1.006095,0.5917,0.5935,0.5998,0.6063,0.5746,985.44,129554861529600.0,0.35
1800,44.0,103.56,1.070593,1.00509,0.5924,0.5943,0.6016,0.6094,0.572,1065.26,144610276320000.0,0.375
1900,46.0,95.31,1.12491,1.004639,0.5915,0.5957,0.6028,0.6122,0.5721,1149.36,160577556019200.0,0.393
2000,48.0,109.62,1.080257,1.001865,0.5939,0.5982,0.6093,0.6147,0.5706,1236.69,177396873984000.0,0.409
2100,51.0,109.53,0.920516,1.000078,0.5952,0.5997,0.6133,0.6155,0.5702,1328.89,195096559910400.0,0.439
2200,53.0,108.97,0.975949,0.998725,0.595,0.6023,0.616,0.6188,0.5719,1425.6,213700613817600.0,0.449
2300,55.0,96.38,0.83182,1.000659,0.5955,0.605,0.6192,0.6224,0.5733,1525.66,233185334112000.0,0.47
2400,58.0,103.06,1.01001,1.00066,0.5956,0.6061,0.6204,0.6257,0.5723,1629.95,253590593356800.0,0.492
2500,58.16,83.47,0.830789,1.001785,0.5945,0.6089,0.6223,0.6286,0.5758,1738.16,274899103430400.0,0.51
